Name,Image,Image SH,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,DIY Icon Filename SH,Serial ID,Internal ID,Unique Entry ID,Internal ID as hex
apple umbrella,,,7,apple,,,,,,,,,,,NFS,200.0,,,Big Sister villagers,,,,1.0.0,Yes,100,Equipment,9948,red,UmbrellaApple0,,1824,623,N2aQCn6hYqjw2ijPX,026F
apple wall,,,20,apple,,,,,,,,,,,NFS,200.0,,,Big Sister villagers,,,,1.0.0,Yes,100,Wallpaper,4916,red,RoomTexWallApple00,,1822,304,7azjirioafcXyzPHB,0130
Aquarius urn,,,3,star fragment,2.0,Aquarius fragment,2.0,gold nugget,5.0,stone,,,,,NFS,200.0,,,Celeste,,Aquarius,Yes,1.0.0,Yes,0,Housewares,5956,silver,FtrZodiacAquarius,,2310,366,NGfmzz4ndL9MvLG2F,016E
Aries rocking chair,,,3,star fragment,2.0,Aries fragment,1.0,gold nugget,5.0,stone,,,,,NFS,200.0,,,Celeste,,Aries,Yes,1.0.0,Yes,0,Housewares,5954,silver,FtrZodiacAries,,2300,367,XXJwFRCG4m9Q4xe6y,016F
armor shoes,,,4,iron nugget,,,,,,,,,,,NFS,200.0,,,Cranky villagers,,,,1.0.0,Yes,100,Equipment,5472,dark gray,ShoesKneeKnightIron,,962,642,zbzh6s369wZ3anypo,0282
aroma pot,,,3,clay,,,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,0,Miscellaneous,1753,brick,FtrAlomapot,,704,30,BTu3bRj64f2dwdDXa,001E
asteroid,,,5,star fragment,10.0,stone,,,,,,,,,NFS,200.0,,,Celeste,,,,1.0.0,Yes,0,Housewares,1439,silver,FtrMeteo,,2203,235,BPNHraJWRXYZahLoJ,00EB
astronaut suit,,,5,star fragment,5.0,iron nugget,,,,,,,,,NFS,200.0,,,Celeste,,,,1.0.0,Yes,0,Housewares,1445,silver,FtrSpacesuit,,2220,236,sczENjHH7XW8e2n3Q,00EC
autumn wall,,,10,maple leaf,5.0,wood,5.0,clump of weeds,,,,,,,NFS,200.0,,,Balloons,,maple leaves,Yes,1.0.0,Yes,0,Wallpaper,4905,brown,RoomSpWallAutumun00,,4650,290,vjyWT27sydFDoYjhF,0122
axe,,,1,flimsy axe,3.0,wood,1.0,iron nugget,,,,,,,NFS,200.0,,,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,,,1.0.0,Yes,0,Tools,2100,beige,ToolAxe,,102,271,b3QE9sXE7w5KCXkS5,010F
backyard lawn,,,30,clump of weeds,,,,,,,,,,,NFS,200.0,,,Peppy villagers,,,,1.0.0,Yes,0,Floors,4979,green,RoomTexFloorLawn00,,1261,487,pCoJi3w8hqsWKsBvz,01E7
baked potatoes,,,2,potato,,,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,14465,color_64,FtrPotatobutter,,12311,966,4fvSr7YjTW4TLiKqD,03C6
bamboo basket,,,7,bamboo piece,,,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,50,Housewares,3658,green,FtrBambooBasket,,2409,152,y7Zjyax97JJo6k4oJ,0098
bamboo bench,,,8,bamboo piece,,,,,,,,,,,NFS,200.0,,,Normal villagers,,,,1.0.0,Yes,50,Housewares,710,green,FtrBambooChairL,,2401,46,iRBcw227DDdksTz3J,002E
bamboo candleholder,,,3,bamboo piece,2.0,clay,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,50,Miscellaneous,3554,green,FtrBambooCandle,,2402,153,9FCcnLSsxLXkR2NEA,0099
bamboo doll,,,6,young spring bamboo,,,,,,,,,,,NFS,200.0,,,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Housewares,3555,green,FtrBambooSurprisedbox,,3000,158,gc6yP5HuqTxEGBK48,009E
bamboo drum,,,3,bamboo piece,2.0,softwood,,,,,,,,,NFS,200.0,,,Jock villagers,,,,1.0.0,Yes,50,Miscellaneous,4093,green,FtrBamboodrum,,2413,397,K5pwygoJtxAXbj7db,018D
bamboo floor lamp,,,8,bamboo piece,,,,,,,,,,,NFS,200.0,,,Normal villagers,,,,1.0.0,Yes,50,Housewares,3557,green,FtrBambooLamp,,2410,159,47AeakgHNdNvSvLRb,009F
bamboo flooring,,,15,bamboo piece,,,,,,,,,,,NFS,200.0,,,Cranky villagers,,,,1.0.0,Yes,50,Floors,4964,green,RoomTexFloorBamboo00,,2460,485,JyK3oMGwWg46SZ7M6,01E5
bamboo hat,,,10,clump of weeds,,,,,,,,,,,NFS,200.0,,,Cranky villagers,,,,1.0.0,Yes,0,Equipment,5143,green,CapHatAjiroBeige,,1284,607,p6dWvgRwv6574A7md,025F
bamboo lattice fence,,,6,bamboo piece,,,,,,,,,,,NFS,200.0,1000.0,Nook Miles,Nook Miles Redemption,,,,1.0.0,Yes,0,Other,3403,green,ItemFenceBamboo,,2490,101,kFi2XW9eoPkAoWdS5,0065
bamboo lunch box,,,4,bamboo piece,,,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,50,Miscellaneous,5978,green,FtrBambooLunch,,2406,421,ejw8RfXvq8vPJuLod,01A5
bamboo noodle slide,,,7,young spring bamboo,3.0,wood,,,,,,,,,NFS,200.0,,,Balloons; Isabelle,,young spring bamboo,Yes,1.0.0,Yes,0,Housewares,5979,green,FtrBambooSomen,,3002,424,P9SmzDkYdcYuPmRop,01A8
bamboo partition,,,7,bamboo piece,6.0,stone,,,,,,,,,NFS,200.0,,,Cranky villagers,,,,1.0.0,Yes,50,Housewares,3553,green,FtrBambooScreen,,2403,157,6B3A3RrMHHYeGnDR4,009D
bamboo shelf,,,15,bamboo piece,,,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,50,Housewares,3551,green,FtrBambooShelf,,2405,155,ATFSAKswogCggcGbd,009B
bamboo speaker,,,3,bamboo piece,1.0,iron nugget,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,50,Housewares,10743,green,FtrBambooMusic,,2411,591,59rwk7hPFaeWEX7AY,024F
bamboo sphere,,,3,bamboo piece,,,,,,,,,,,NFS,200.0,,,Normal villagers,,,,1.0.0,Yes,50,Miscellaneous,5976,green,FtrBambooBall,,2404,420,4DSiABqB4KvShtQdM,01A4
bamboo stool,,,5,bamboo piece,,,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,50,Housewares,10742,green,FtrBambooStool,,2400,590,cSywc8qQTGtF5PTqT,024E
bamboo stopblock,,,3,bamboo piece,,,,,,,,,,,NFS,200.0,,,Jock villagers,,,,1.0.0,Yes,50,Housewares,3556,green,FtrBambooCarstop,,2412,154,g6cSM6je3YN47KiMD,009A
bamboo wall,,,15,bamboo piece,,,,,,,,,,,NFS,200.0,,,Cranky villagers,,,,1.0.0,Yes,50,Wallpaper,4833,green,RoomTexWallBamboo00,,2450,322,BYCNmo3a3HZQXWqHK,0142
bamboo wall decoration,,,1,bamboo piece,,,,,,,,,,,NFS,200.0,,,Jock villagers,,,,1.0.0,Yes,50,Wall-mounted,3558,green,FtrBambooFlowerwall,,2430,151,Xb2ywJv5tsDeSKG2H,0097
bamboo wand,,,6,young spring bamboo,3.0,star fragment,,,,,,,,,NFS,200.0,,,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Tools,7590,green,ToolStickBamboo,,3090,538,Z5FSewP6wM2McqRCJ,021A
bamboo-grove wall,,,7,young spring bamboo,3.0,bamboo shoot,,,,,,,,,NFS,200.0,,,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Wallpaper,4853,green,RoomTexWallChikurin00,,3051,300,YEqTcFmBecj7pp4XX,012C
bamboo-shoot lamp,,,4,young spring bamboo,5.0,bamboo shoot,4.0,clay,,,,,,,NFS,200.0,,,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Miscellaneous,5977,green,FtrBambooshootLamp,,3004,385,kdfzcoLwkhis8mbtR,0181
bamboo-shoot soup,,,2,bamboo shoot,,,,,,,,,,,NFS,200.0,,,Daisy Mae,Sent in the mail after purchasing turnips,,,2.0.0,Yes,0,Savory,13943,color_63,FtrSoupBambooshoot,,12104,856,RqxPNf9JmDprC2FRj,0358
bamboo-slats fence,,,3,bamboo piece,,,,,,,,,,,NFS,200.0,1000.0,Nook Miles,Nook Miles Redemption,,,,2.0.0,Yes,0,Other,14757,green,ItemFenceSandProtection,,2492,1009,TiZtS7iuDhaL76Y8p,03F1
barbed-wire fence,,,4,hardwood,2.0,iron nugget,,,,,,,,,NFS,200.0,1000.0,Nook Miles,Nook Miles Redemption,,,,1.0.0,Yes,0,Other,5213,brown,ItemFenceBarbedWire,,585,561,dgW8J3q4JWsyyrDxP,0231
barbell,,,10,iron nugget,,,,,,,,,,,NFS,200.0,,,Jock villagers,,,,1.0.0,Yes,0,Housewares,4078,dark gray,FtrBarbell,,914,395,A3fKpbNzYnRZwYMbx,018B
barred-knifejaw carpaccio,,,1,barred knifejaw,,,,,,,,,,,NFS,200.0,,,Catching a barred knifejaw,,,,2.0.0,Yes,0,Savory,14168,color_66,FtrCarpaccioBeakfish,,13403,948,95gSnj7e4hGhkSaBq,03B4
barrel,,,5,wood,2.0,iron nugget,,,,,,,,,NFS,200.0,,,Cranky villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,,,1.0.0,Yes,0,Housewares,1266,brown,FtrPirateBarrel,,431,165,QBxsHQZ8DpGYE7d8S,00A5
basement flooring,,,10,stone,,,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,0,Floors,4797,light gray,RoomTexFloorBasement00,,855,474,RdpaWYGrZLzQWtKDJ,01DA
basket pack,,,6,young spring bamboo,,,,,,,,,,,NFS,200.0,,,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Equipment,7506,green,BagBackpackBasket0,,3080,645,j2a3p7Gtpy8fW2Z5S,0285
beekeeper's hive,,,3,wasp nest,5.0,wood,,,,,,,,,NFS,200.0,,,Jock villagers,,,,1.0.0,Yes,0,Housewares,3406,orange,FtrBeekeepingbox,,2000,204,nxtm2DdtRcHzAyrZX,00CC
big festive tree,,,6,red ornament,6.0,blue ornament,4.0,gold ornament,5.0,wood,5.0,clay,,,NFS,200.0,,,All villagers; Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,3966,white,FtrTreeXmasL,,7404,273,xArzFHH3vK5tq4r6y,0111
birdbath,,,6,stone,,,,,,,,,,,NFS,200.0,,,Snooty villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,,,1.0.0,Yes,0,Housewares,331,light gray,FtrBirdbus,,802,42,73BAmDLcYdhSDnHLR,002A
birdcage,,,8,wood,,,,,,,,,,,NFS,200.0,,,Big Sister villagers,,,,1.0.0,Yes,0,Housewares,865,brown,FtrBirdcage,,404,216,Dm56HseZexdC2ctda,00D8
birdhouse,,,2,wood,5.0,softwood,,,,,,,,,NFS,200.0,,,Peppy villagers; Tom Nook,,,,1.0.0,Yes,0,Housewares,333,brown,FtrBirdhouse,,435,41,cDe3r9tficCbWgmH4,0029
block fence,,,8,stone,2.0,iron nugget,,,,,,,,,NFS,200.0,1000.0,Nook Miles,Nook Miles Redemption,,,,2.0.0,Yes,0,Other,4355,light gray,ItemFenceConcreteBlock,,872,551,ntze5zvFuK7NE7dn9,0227
blossom-viewing lantern,,,6,cherry-blossom petal,4.0,hardwood,,,,,,,,,NFS,200.0,,,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,6831,pink,FtrSakuraLantern,,3404,427,7dxFMY3pjTmv4D3QX,01AB
blue rose crown,,,6,blue roses,,,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Equipment,7377,green,CapOrnamentRose4,,8215,459,5oscGctPhHbHFeSHY,01CB
blue rose wreath,,,10,blue roses,,,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Wall-mounted,5772,green,FtrDoorOrnamentWreathRoseUrtraRare,,7855,447,XbGbAr5htMNb6h4mr,01BF
bone doorplate,,,3,softwood,,,,,,,,,,,NFS,200.0,,,Lazy villagers,,,,1.0.0,Yes,50,Wall-mounted,4751,brown,FtrDoorPlateBone,,500,467,jbvhjbWecrky57s9e,01D3
bonfire,,,1,campfire,10.0,wood,,,,,,,,,NFS,200.0,,,Cranky villagers; Tom Nook,,,,1.0.0,Yes,0,Housewares,1430,brown,FtrCampfire,,201,34,JxApKgoud4gfvEcwk,0022
bonsai shelf,,,1,cherry-blossom bonsai,1.0,pine bonsai tree,8.0,wood,,,,,,,NFS,200.0,,,Cranky villagers,,,,1.0.0,Yes,100,Housewares,3580,brown,FtrBonsaiShelf,,437,593,ybNj2deAkSr4AkbXf,0251
boomerang,,,3,hardwood,,,,,,,,,,,NFS,200.0,,,Lazy villagers,,,,1.0.0,Yes,50,Wall-mounted,682,brown,FtrBoomerang,,481,171,rMasSCDby69z84Fai,00AB
box-shaped seat,,,6,wood,,,,,,,,,,,NFS,200.0,,,Peppy villagers,,,,2.0.0,Yes,0,Housewares,12350,brown,FtrStoolBox,,407,1051,of9KRXbfbxMhg4Zgu,041B
bread,,,3,flour,,,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,12822,color_63,FtrBreadbasket,,12801,975,B3PpRPNLt3EvMKp7a,03CF
bread gratin,,,2,flour,2.0,whole-wheat flour,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,13933,color_61,FtrVesselBread,,12601,846,DwqTzefK8BKrPapvE,034E
brick fence,,,6,clay,,,,,,,,,,,NFS,200.0,1000.0,Nook Miles,Nook Miles Redemption,,,,1.0.0,Yes,0,Other,3080,brick,ItemFenceWallRenga,,770,99,F7bg775Kh6niY7gcZ,0063
brick oven,,,8,clay,2.0,iron nugget,6.0,wood,,,,,,,NFS,200.0,,,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,,,1.0.0,Yes,0,Housewares,1157,brick,FtrStoneoven,,706,58,HKzfxMGvbz6Xhni9E,003A
brick pillar,,,4,clay,,,,,,,,,,,NFS,200.0,,,Niko,"Received after donating DIY materials, after 19th HHP house",Happy Home Paradise,Yes,2.0.0,Yes,0,Other,14596,color_55,FtrWallPillarBrick,,782,831,tHuA39XBMyQendPb2,033F
brick well,,,8,clay,5.0,wood,1.0,flimsy shovel,,,,,,,NFS,200.0,2000.0,Nook Miles,Nook Miles Redemption,,,,1.0.0,Yes,0,Housewares,3776,brick,FtrWellBrick,,707,408,MZhaSK4GZ9D3jkRMw,0198
bridge construction kit,,,4,log stakes,4.0,clay,4.0,stone,,,,,,,NFS,200.0,,,Tom Nook,Obtained during the main storyline,,,1.0.0,Yes,0,Other,7211,,BridgeLogReserveKit,,1,458,5aMdJ9fqw3nFtTSYR,01CA
brown herringbone wall,,,15,softwood,,,,,,,,,,,NFS,200.0,,,Big Sister villagers,,,,1.0.0,Yes,0,Wallpaper,4804,brown,RoomTexWallHerringbone00,,524,312,YXiuGMDZmkG7wbuQn,0138
brown sugar,,,5,sugarcane,,,,,,,,,,,NFS,200.0,,,Basic Cooking Recipes,,,,2.0.0,Yes,0,Savory,13998,color_61,FlourSugarbrown,,12004,907,qnXmnxczSqqef8zfu,038B
brown-sugar cupcakes,,,1,whole-wheat flour,1.0,brown sugar,,,,,,,,,NFS,200.0,,,Basic Cooking Recipes,,,,2.0.0,Yes,0,Sweet,14112,color_64,FtrCupcakeBlacksuger,,14202,920,Ee3Xr4C2ziRuRHr9G,0398
brown-sugar pound cake,,,2,flour,1.0,brown sugar,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,14002,color_64,FtrPoundcakeSugarbrown,,14702,911,fxT5cEz4pzkZWvNJH,038F
Bunny Day arch,,,2,earth egg,2.0,stone egg,2.0,leaf egg,2.0,wood egg,2.0,sky egg,2.0,water egg,NFS,200.0,,,Zipper,Reward from Zipper after collecting all 6 egg types,Bunny Day,Yes,1.1.0,Yes,0,Housewares,12398,yellow,FtrEggArch,,8608,695,LnuCzHYJaAs4HNMdm,02B7
Bunny Day bag,,,1,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,,,All villagers,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12447,yellow,BagBackpackEgg0,,8681,694,9njGw9d2nxaB5RiGR,02B6
Bunny Day bed,,,1,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,,,Zipper,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12414,yellow,FtrEggBedW,,8604,698,FiJ85ZKnHbkjNQ7FF,02BA
Bunny Day crown,,,1,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,,,All villagers,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12445,yellow,CapOrnamentCEgg0,,8680,693,ARB6gWR7MFyiPoP3b,02B5
Bunny Day fence,,,1,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Other,12630,yellow,ItemFenceEgg,,8690,712,4Kdig9tWPTr4Xx6Kv,02C8
Bunny Day festive balloons,,,1,stone egg,1.0,wood egg,1.0,water egg,,,,,,,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12421,yellow,FtrEggBalloonB,,8607,704,gSFqr84aRRt85bwzj,02C0
Bunny Day flooring,,,2,earth egg,2.0,stone egg,2.0,leaf egg,2.0,wood egg,2.0,sky egg,2.0,water egg,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Floors,12423,yellow,RoomTexFloorEaster00,,8651,710,niHGKnTgXRGTbpEwc,02C6
Bunny Day glowy garland,,,1,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Wall-mounted,12417,yellow,FtrEggLampWall,,8631,700,o4dxxDMeguMH8zQzx,02BC
Bunny Day lamp,,,4,wood egg,,,,,,,,,,,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Miscellaneous,12413,yellow,FtrEggLamp,,8605,697,aJAmvizpFhDespKHb,02B9
Bunny Day merry balloons,,,1,earth egg,1.0,leaf egg,1.0,sky egg,,,,,,,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12419,yellow,FtrEggBalloonA,,8606,702,8JL8MamAW5zYTfT3J,02BE
Bunny Day rug,,,1,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Rugs,7546,yellow,RugOtherEasterM00,,8652,709,qhQxRtRZztg72hh23,02C5
Bunny Day stool,,,3,water egg,,,,,,,,,,,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12415,yellow,FtrEggStool,,8600,699,wa4bcffdYLswPfJ2B,02BB
Bunny Day table,,,4,earth egg,,,,,,,,,,,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12436,yellow,FtrEggTableS,,8601,705,9aQh9Qrq3vpQdqueu,02C1
Bunny Day vanity,,,4,leaf egg,,,,,,,,,,,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12420,yellow,FtrEggDresser,,8603,703,NnTWBXepctfiLMjnL,02BF
Bunny Day wall,,,2,earth egg,2.0,stone egg,2.0,leaf egg,2.0,wood egg,2.0,sky egg,2.0,water egg,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Wallpaper,5231,yellow,RoomTexWallEaster00,,8650,708,fJWKvdNQwBqRaKjsz,02C4
Bunny Day wall clock,,,3,sky egg,,,,,,,,,,,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Wall-mounted,12418,yellow,FtrEggClock,,8630,701,CYdX8kEStsmMXX96v,02BD
Bunny Day wand,,,1,wobbling Zipper toy,3.0,star fragment,,,,,,,,,NFS,200.0,,,Zipper,Reward from Zipper after crafting wobbling Zipper toy,Bunny Day,Yes,1.1.0,Yes,0,Tools,12578,yellow,ToolStickEgg,,8691,711,ySsGKkX7k5TFeytzQ,02C7
Bunny Day wardrobe,,,4,stone egg,,,,,,,,,,,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12437,yellow,FtrEggClosetLR,,8602,706,CNAhe3aeGYQ22Q7LG,02C2
Bunny Day wreath,,,1,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,,,Egg bottles; Egg balloons,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Wall-mounted,12517,yellow,FtrDoorOrnamentWreathEaster,,8640,707,296Ws5ikbL8hMv3ZC,02C3
butter churn,,,4,wood,2.0,iron nugget,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,0,Housewares,7805,brown,FtrButtermixer,,433,508,zAPyFGPvmSTCdivgm,01FC
cabin wall,,,15,hardwood,,,,,,,,,,,NFS,200.0,,,Peppy villagers,,,,1.0.0,Yes,0,Wallpaper,4840,brown,RoomTexWallLog00,,527,315,vYePWAqNbmHCX2n7u,013B
cake salé,,,2,flour,1.0,carrot,1.0,potato,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,14716,color_63,FtrPoundcakeVegetable,,14705,1038,2uNg7LtH228sAcben,040E
campfire,,,3,tree branch,,,,,,,,,,,NFS,200.0,,,Tom Nook,Obtained from Tom Nook after completing his DIY Workshop at the beginning of the game,,,1.0.0,Yes,0,Housewares,1429,brown,FtrBonfire,,200,13,YDCiZFYQHNweKWYcz,000D
campsite construction kit,,,15,wood,15.0,softwood,15.0,hardwood,15.0,iron nugget,,,,,NFS,200.0,,,Tom Nook,Obtained during the main storyline,,,1.0.0,Yes,0,Other,5166,,CampsiteReserveKit,,1,461,r2Hct8GMigwWDdwc8,01CD
Cancer table,,,3,star fragment,2.0,Cancer fragment,2.0,gold nugget,3.0,stone,,,,,NFS,200.0,,,Celeste,,Cancer,Yes,1.0.0,Yes,0,Housewares,5959,silver,FtrZodiacCancer,,2303,371,FvH6DXMtKuuXbmRdS,0173
Capricorn ornament,,,3,star fragment,2.0,Capricorn fragment,2.0,gold nugget,12.0,stone,,,,,NFS,200.0,,,Celeste,,Capricorn,Yes,1.0.0,Yes,0,Housewares,5957,silver,FtrZodiacCapricornus,,2309,370,WzAvFzPD5oa7ZijeY,0172
cardboard bed,,,4,cardboard box,,,,,,,,,,,NFS,200.0,,,Lazy villagers,,,,1.0.0,Yes,1,Housewares,7161,yellow,FtrCardboardBedS,,2133,497,egMT9pGzXF4tW2TcQ,01F1
