Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Type,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID,Internal ID as hex
baby's hat,,,Baby purple,No,560,140,51,Pink,White,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,comfy,2,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet1,707,11853,5939Ws882wTSv7sJK,2E4D
baby's hat,,,Baby orange,No,560,140,51,Orange,White,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,comfy,3,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet7,707,11859,Pf6AxNWkC8D4BBoEN,2E53
baby's hat,,,Baby yellow,No,560,140,51,Yellow,White,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,comfy,4,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet2,707,11854,qk3PJdK2SZK4vsFKo,2E4E
baby's hat,,,Baby green,No,560,140,51,Green,White,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,comfy,5,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet3,707,11855,hADTfx6Y2hKri4obE,2E4F
baby's hat,,,Baby mint,No,560,140,51,Aqua,White,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,comfy,6,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet0,707,5363,rv9rW8dCfB8k73Hzr,14F3
baby's hat,,,Baby blue,No,560,140,51,Blue,White,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,comfy,7,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet6,707,11858,qHj5WWwZRstJtjP2d,2E52
baby's hat,,,Baby gray,No,560,140,51,Beige,White,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,comfy,8,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet5,707,11857,7FLgET2RH6aejsb8v,2E51
balloon hat,,,Orange,No,1120,280,51,Orange,Pink,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,party; theatrical,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBalloon1,689,11050,rWRnH9TkRg3o9xDJQ,2B2A
balloon hat,,,Green,No,1120,280,51,Green,Yellow,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,party; theatrical,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBalloon3,689,11052,CwDPA4FeLvQ44QncE,2B2C
balloon hat,,,Blue,No,1120,280,51,Blue,Purple,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,party; theatrical,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBalloon2,689,11051,oKbK2uhkLaQaRnpWW,2B2B
balloon hat,,,Rainbow,No,1120,280,51,Colorful,Colorful,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,party; theatrical,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBalloon0,689,5340,Y2LX2RKY9fu4DtjFs,14DC
bamboo hat,,,,Yes,NFS,200,103,Beige,Beige,1x1,,,Crafting,,,,All Year,All Year,,Free,Free,Simple,Active,fairy tale; outdoorsy,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatAjiroBeige,594,5143,ehxYwYvtXQ5wyi3pQ,1417
barrette,,,,No,490,122,51,Pink,White,1x1,440.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Elegant,Cute,everyday; fairy tale; party,1,HeadHairOrnament_Back,Yes,For sale,1.0.0,Yes,CapOrnamentTBarrette0,1111,9860,BK2NAfuYfrr4womPM,2684
baseball cap,,,Orange,No,840,210,51,Black,Orange,1x1,760.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; sporty; work,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball3,1061,12094,HE8xZkXbRspp6qgoE,2F3E
baseball cap,,,Yellow,No,840,210,51,Black,Yellow,1x1,760.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; sporty; work,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball4,1061,12095,rci5SRCfQ3Hre9vsT,2F3F
baseball cap,,,Red,No,840,210,51,Red,Red,1x1,760.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; sporty; work,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball0,1061,9763,Yt7QudxePYGMbwcWt,2623
baseball cap,,,Green,No,840,210,51,Green,Green,1x1,760.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; sporty; work,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball2,1061,12093,xYaGzJECou3ALoBz4,2F3D
baseball cap,,,Navy blue,No,840,210,51,Blue,Blue,1x1,760.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; sporty; work,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball1,1061,12092,PomndWn5sqv7fZ86a,2F3C
batter's helmet,,,Orange,No,1040,260,51,Black,Orange,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,1,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball3,709,11598,ohKfr9GPDP7QdRSnC,2D4E
batter's helmet,,,Yellow,No,1040,260,51,Black,Yellow,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,2,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball4,709,11599,4bFJaJ5S9qqevW4sx,2D4F
batter's helmet,,,Red,No,1040,260,51,Red,Red,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,3,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball0,709,5366,5YfnKAsTFYFEyGCJb,14F6
batter's helmet,,,Green,No,1040,260,51,Green,Green,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,4,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball2,709,11597,GfWeB9jgoCTfuG9Lv,2D4D
batter's helmet,,,Navy blue,No,1040,260,51,Blue,Blue,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,5,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball1,709,11596,zRQ6hi9FeiQcLXwzH,2D4C
bear cap,,,Brown,No,1120,280,51,Brown,Beige,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,fairy tale; party; theatrical,1,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBear0,682,5330,qmkSD7yKDpFvdxcPK,14D2
bear cap,,,Black,No,1120,280,51,Black,Beige,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,fairy tale; party; theatrical,2,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBear1,682,11704,6Lrqy6EP9zYBc9Cvj,2DB8
bear cap,,,Pink,No,1120,280,51,Pink,Beige,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,fairy tale; party; theatrical,3,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBear2,682,11705,CK638wXoN5uPsRbYJ,2DB9
bear cap,,,Blue,No,1120,280,51,Aqua,White,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,fairy tale; party; theatrical,4,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBear3,682,11706,MfoAxTnsMmTQBic6g,2DBA
beret,,,White,No,880,220,51,White,White,1x1,790.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Autumn,All Year,Free,Free,Elegant,Elegant,everyday; formal; party,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret5,636,11527,4cJGWuLDDa2emHT9H,2D07
beret,,,Gray,No,880,220,51,Gray,Gray,1x1,790.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Autumn,Winter,Free,Free,Elegant,Elegant,everyday; formal; party,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret4,636,11526,RumHCxfL5TsdeSodA,2D06
beret,,,Berry red,No,880,220,51,Red,Red,1x1,790.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Autumn,Winter,Free,Free,Elegant,Elegant,everyday; formal; party,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret0,636,5260,iPsbB4mbQ899q2j57,148C
beret,,,Mustard,No,880,220,51,Yellow,Yellow,1x1,790.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Autumn,,Free,Free,Elegant,Elegant,everyday; formal; party,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret3,636,11525,gW77mBgBYahG3WcYf,2D05
beret,,,Green,No,880,220,51,Green,Green,1x1,790.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Autumn,,Free,Free,Elegant,Elegant,everyday; formal; party,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret2,636,11524,39uW3hcrPpBpudJrm,2D04
beret,,,Blue,No,880,220,51,Blue,Blue,1x1,790.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Autumn,,Free,Free,Elegant,Elegant,everyday; formal; party,6,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret1,636,11523,9CLccmJpKhs7z7GsP,2D03
bicycle helmet,,,Red,No,1100,275,51,Red,Black,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet2,645,10220,QDn7xQHdWZ6xPh3BT,27EC
bicycle helmet,,,Pink,No,1100,275,51,Pink,Black,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet7,645,10225,RZCHqdZeoMmDoGm4m,27F1
bicycle helmet,,,Orange,No,1100,275,51,Orange,Black,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet5,645,10223,4GFrms76iFwwqSCkm,27EF
bicycle helmet,,,Lime,No,1100,275,51,Yellow,Black,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet3,645,10221,mM2hGRaCP5ZaDdab6,27ED
bicycle helmet,,,Green,No,1100,275,51,Green,Black,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet4,645,10222,qqDW5HCEQdMJx5H5B,27EE
bicycle helmet,,,Blue,No,1100,275,51,Aqua,Black,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty,6,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet0,645,5282,kWrRgRFJ8PYExJvL6,14A2
bicycle helmet,,,Navy blue,No,1100,275,51,Blue,Black,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty,7,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet1,645,10219,tXGWFr2hrkQg6XgKy,27EB
bicycle helmet,,,Purple,No,1100,275,51,Purple,Black,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty,8,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet6,645,10224,D2BTXoTXvvGwzyyuF,27F0
birthday hat,,,Pink,No,NFS,600,573,Pink,White,1x1,,,Birthday,,Birthday,Yes,All Year,All Year,,Free,Free,Gorgeous,Gorgeous,party,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatBirthday2,551,11032,SHSKySrv2c9QJHFbt,2B18
birthday hat,,,Yellow,No,NFS,600,573,Yellow,White,1x1,,,Birthday,,Birthday,Yes,All Year,All Year,,Free,Free,Gorgeous,Gorgeous,party,2,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatBirthday1,551,11031,KxQKjRzS2zDaXTS38,2B17
birthday hat,,,Blue,No,NFS,600,573,Aqua,White,1x1,,,Birthday,,Birthday,Yes,All Year,All Year,,Free,Free,Gorgeous,Gorgeous,party,3,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatBirthday0,551,4800,zndsngwExKbWTahZf,12C0
blue rose crown,,,,Yes,NFS,12000,103,Blue,Blue,1x1,,,Crafting,,,,All Year,All Year,,Free,Free,Cute,Cool,fairy tale; party; vacation,1,HeadHairOrnament_Top,Yes,Not for sale,1.0.0,Yes,CapOrnamentRose4,959,7377,FMTDb2CYPMNxEfjTu,1CD1
bowler hat with ribbon,,,Red,No,1100,275,51,Red,Red,1x1,990.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Free,Elegant,Elegant,fairy tale; formal; party,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBowler3,659,10884,DXBymHgCPFMRd9ruP,2A84
bowler hat with ribbon,,,Pink,No,1100,275,51,Pink,Pink,1x1,990.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Free,Elegant,Elegant,fairy tale; formal; party,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBowler4,659,10885,S6CNHQKo3qjp4rYvW,2A85
bowler hat with ribbon,,,Green,No,1100,275,51,Green,Green,1x1,990.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,All Year,Free,Free,Elegant,Elegant,fairy tale; formal; party,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBowler2,659,10883,X7h5XGKTRyvZYhKvz,2A83
bowler hat with ribbon,,,Blue,No,1100,275,51,Aqua,Aqua,1x1,990.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Free,Elegant,Elegant,fairy tale; formal; party,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBowler0,659,5296,WERjZwsMPdiWTSW75,14B0
bowler hat with ribbon,,,Beige,No,1100,275,51,Beige,Beige,1x1,990.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Free,Elegant,Elegant,fairy tale; formal; party,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBowler1,659,10882,Zw2YFExjKxhPLh8m9,2A82
bridal veil,,,,No,NFS,1150,437,White,Colorful,1x1,12.0,Heart Crystals,Cyrus,,Wedding Season,Yes,All Year,All Year,,Free,Womanly,Elegant,Gorgeous,fairy tale; formal; party; theatrical,1,Headgear_HasEar,No,Not for sale,1.2.0,Yes,CapWigWedding,830,5692,8bavS95pnPk55RWhq,163C
bulb bopper,,,,No,NFS,245,251,Green,Gray,1x1,,,Isabelle,,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),Yes,All Year,All Year,,Free,Free,Cute,Gorgeous,fairy tale; party; theatrical,1,HeadHairOrnament_Front,Yes,Not for sale,1.4.0,Yes,CapOrnamentFBallband0,1108,9857,kgvf6QgRbhreRM9mx,2681
bun wig,,,White,No,1400,350,51,White,Colorful,1x1,1300.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Womanly,Cute,Cute,theatrical,1,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun3,831,11890,iHzbGt8cd8noNaNhK,2E72
bun wig,,,Pink,No,1400,350,51,Pink,Colorful,1x1,1300.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,All Year,Free,Womanly,Cute,Cute,theatrical,2,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun0,831,5693,3dY6G9juEFXKBWDjL,163D
bun wig,,,Orange,No,1400,350,51,Orange,Colorful,1x1,1300.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Womanly,Cute,Cute,theatrical,3,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun6,831,11893,Xi5zbpjv8DuMCGhSg,2E75
bun wig,,,Mustard,No,1400,350,51,Yellow,Colorful,1x1,1300.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,Summer,Free,Womanly,Cute,Cute,theatrical,4,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun2,831,11889,cLo5L7JBf2GSajf58,2E71
bun wig,,,Green,No,1400,350,51,Green,Colorful,1x1,1300.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Womanly,Cute,Cute,theatrical,5,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun5,831,11892,MaH5ns6crjCLnh4Xv,2E74
bun wig,,,Blue,No,1400,350,51,Blue,Colorful,1x1,1300.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Womanly,Cute,Cute,theatrical,6,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun1,831,11888,SyzZ7uDqxmmvT5oWR,2E70
bun wig,,,Purple,No,1400,350,51,Purple,Colorful,1x1,1300.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Womanly,Cute,Cute,theatrical,7,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun4,831,11891,EB9fqNu8wNpRwg8j7,2E73
Bunny Day crown,,,,Yes,NFS,2400,351,Colorful,Colorful,1x1,,,Crafting,,Bunny Day (days before); Bunny Day,Yes,All Year,All Year,,Free,Free,Elegant,Cute,fairy tale; party; theatrical,1,HeadHairOrnament_Top,Yes,Not for sale,1.1.0,Yes,CapOrnamentCEgg0,1201,12445,22fHRtAozAf9F7KAP,309D
bunny ears,,,Black,No,1120,280,51,Black,Black,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cool,fairy tale; party; theatrical,1,HeadHairOrnament_Front,Yes,For sale,1.0.0,Yes,CapOrnamentFBunny0,952,7209,guAKXMvkQjACjCeko,1C29
bunny ears,,,Red,No,1120,280,51,Red,Red,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cool,fairy tale; party; theatrical,2,HeadHairOrnament_Front,Yes,For sale,1.0.0,Yes,CapOrnamentFBunny2,952,11903,Cp6KkLFeWf2ZjrxGG,2E7F
bunny ears,,,Pink,No,1120,280,51,Pink,Pink,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cool,fairy tale; party; theatrical,3,HeadHairOrnament_Front,Yes,For sale,1.0.0,Yes,CapOrnamentFBunny1,952,11902,ejbHqhzuDWKeRTJHB,2E7E
bunny ears,,,Light blue,No,1120,280,51,Aqua,Aqua,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cool,fairy tale; party; theatrical,4,HeadHairOrnament_Front,Yes,For sale,1.0.0,Yes,CapOrnamentFBunny3,952,11904,vEGFBZeC8cs8uSHYX,2E80
bunny hood,,,White,No,1120,280,51,White,Aqua,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,fairy tale; party,1,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsRabbit2,677,11701,yspHESBTkZq8CtqQ2,2DB5
bunny hood,,,Pink,No,1120,280,51,Pink,Pink,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,fairy tale; party,2,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsRabbit0,677,5325,kAc5WJ4RdbdwRZviu,14CD
bunny hood,,,Yellow,No,1120,280,51,Yellow,Yellow,1x1,1000.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,fairy tale; party,3,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsRabbit1,677,11700,56pSbKmverxwgoWyA,2DB4
