Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Lighting Type,Door Deco,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID,Internal ID as hex,Variant Pattern Encoded
blue rose wreath,,,,,,Yes,No,No,,,,,NFS,20000,Blue,Blue,,,1x1,Crafting,,,,103,fancy,nature,flowers,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathRoseUrtraRare,,5772,WAhbxkq89fSuMSSNa,168C,
bone doorplate,,Brown,Color,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,360,Brown,Beige,,,1x1,Crafting,,,,103,child's room,living room,,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_0_0,0_0,4751,GWsheTRiG46HjezX3,128F,"(0, 0)"
bone doorplate,,White,Color,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,360,White,Red,,,1x1,Crafting,,,,103,child's room,living room,,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_1_0,1_0,4751,DKpXvEcErego2mzTR,128F,"(1, 0)"
bone doorplate,,Black,Color,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,360,Black,Beige,,,1x1,Crafting,,,,103,child's room,living room,,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_2_0,2_0,4751,NzaREJBzeZgh5Dj8Z,128F,"(2, 0)"
bone doorplate,,Pink,Color,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,360,Pink,Red,,,1x1,Crafting,,,,103,child's room,living room,,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_3_0,3_0,4751,ZWgvwP6XWE92ueBg7,128F,"(3, 0)"
bone doorplate,,Red,Color,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,360,Red,Beige,,,1x1,Crafting,,,,103,child's room,living room,,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_4_0,4_0,4751,srNuKC9nZL6Tq8dCL,128F,"(4, 0)"
bone doorplate,,Yellow,Color,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,360,Yellow,Brown,,,1x1,Crafting,,,,103,child's room,living room,,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_5_0,5_0,4751,zL68LPrwNxepQii85,128F,"(5, 0)"
bone doorplate,,Blue,Color,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,360,Blue,White,,,1x1,Crafting,,,,103,child's room,living room,,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_6_0,6_0,4751,TRnRBfdFBygGPv3To,128F,"(6, 0)"
bone doorplate,,Natural wood,Color,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,360,Beige,Brown,,,1x1,Crafting,,,,103,child's room,living room,,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_7_0,7_0,4751,dpi3G97osXcuEgpQv,128F,"(7, 0)"
boomerang,,Natural,Paint color,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,360,Brown,Beige,,,1x0.5,Crafting,,,,103,child's room,,,,,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_0_0,0_0,682,ckBkMWTsoQs9DqJyY,02AA,"(0, 0)"
boomerang,,Green & orange,Paint color,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,360,Green,Orange,,,1x0.5,Crafting,,,,103,child's room,,,,,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_1_0,1_0,682,vzCmcxEKbdd3QwJZC,02AA,"(1, 0)"
boomerang,,Dark brown,Paint color,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,360,Brown,Black,,,1x0.5,Crafting,,,,103,child's room,,,,,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_2_0,2_0,682,CDsTmvKkhfAfvRM29,02AA,"(2, 0)"
boomerang,,Red & black,Paint color,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,360,Red,Black,,,1x0.5,Crafting,,,,103,child's room,,,,,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_3_0,3_0,682,gxzuuSAcAGoXWT7gy,02AA,"(3, 0)"
boomerang,,White & blue,Paint color,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,360,White,Aqua,,,1x0.5,Crafting,,,,103,child's room,,,,,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_4_0,4_0,682,FyvCZvwaADP3n5jMt,02AA,"(4, 0)"
breaker,,,,,,No,No,No,,,,,820,205,White,Black,740.0,Poki,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",,,151,workshop,facility,,,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,Yes,FtrBreaker,,875,qkoNJc3xgRsWMkDiy,036B,
bronze HHA plaque,,,,,,No,No,No,,,,,NFS,400,Brown,Red,,,1x1,HHA,,,,573,living room,expensive,,,,No,Seasonal Decor,No,No lighting,No,Not for sale,1.0.0,Yes,FtrShieldHhaBronze,,7037,PN2tS6ktAtJor7dYQ,1B7D,
broom and dustpan,,Natural,Color,,,No,No,No,,,,1000.0,910,227,Brown,Gray,820.0,Poki,1x1.5,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,,,151,school,retro,,,,No,Supplies,No,No lighting,No,For sale,1.0.0,Yes,FtrCleaningset_Remake_0_0,0_0,3967,ng3LSLuHpPTEwNfED,0F7F,"(0, 0)"
broom and dustpan,,White,Color,,,No,No,No,,,,1000.0,910,227,White,Gray,820.0,Poki,1x1.5,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,,,151,school,retro,,,,No,Supplies,No,No lighting,No,For sale,1.0.0,Yes,FtrCleaningset_Remake_1_0,1_0,3967,3XZn5qtRhWhh5J8TH,0F7F,"(1, 0)"
broom and dustpan,,Dark brown,Color,,,No,No,No,,,,1000.0,910,227,Brown,Black,820.0,Poki,1x1.5,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,,,151,school,retro,,,,No,Supplies,No,No lighting,No,For sale,1.0.0,Yes,FtrCleaningset_Remake_2_0,2_0,3967,AP7AP7JTcGdCpkYwA,0F7F,"(2, 0)"
broom and dustpan,,Colorful,Color,,,No,No,No,,,,1000.0,910,227,Pink,Brown,820.0,Poki,1x1.5,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,,,151,school,retro,,,,No,Supplies,No,No lighting,No,For sale,1.0.0,Yes,FtrCleaningset_Remake_3_0,3_0,3967,zbGz5Z3N9daD8vogA,0F7F,"(3, 0)"
bug plaque,,,,,,No,No,No,,,,,NFS,2500,Yellow,Brown,,,1x1,Blathers,Reward for completing the Stamp Rally in the bug exhibit during International Museum Day,International Museum Day,Yes,437,expensive,den,,,,No,Seasonal Decor,No,No lighting,No,Not for sale,1.2.0,Yes,FtrMuseumInsectWall,,12485,qpp8eyzBrCe7eFFfg,30C5,
bug poster,,,,,,No,No,No,,,,,5000,1250,Colorful,Beige,,,1x1.5,Donating all bugs,,,,251,school,lab,,,,No,Seasonal Decor,No,No lighting,No,Not for sale,2.0.0,Yes,FtrInsectPoster,,12039,ozCKxd5Hgpd9y7HDT,2F07,
bulletin board,,Standard,Style,Scenery,Displayed image,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,Green,Aqua,1300.0,Poki,2x1,Nook's Cranny; HHP Office,,,,151,school,office,,,,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_0_0,0_0,12715,RpPwNiQnbPuGeQzha,31AB,"(0, 0)"
bulletin board,,Standard,Style,People,Displayed image,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,Green,Beige,1300.0,Poki,2x1,Nook's Cranny; HHP Office,,,,151,school,office,,,,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_0_1,0_1,12715,Ap6LekwnaR8J3CpYX,31AB,"(0, 32)"
bulletin board,,Standard,Style,Illustration,Displayed image,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,Green,White,1300.0,Poki,2x1,Nook's Cranny; HHP Office,,,,151,school,office,,,,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_0_2,0_2,12715,XHtZSyz8RGR8fm8Xf,31AB,"(0, 64)"
bulletin board,,Bright,Style,Scenery,Displayed image,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,Blue,Aqua,1300.0,Poki,2x1,Nook's Cranny; HHP Office,,,,151,school,office,,,,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_1_0,1_0,12715,bjH2SNB5jgRaLeKFG,31AB,"(1, 0)"
bulletin board,,Bright,Style,People,Displayed image,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,Blue,Beige,1300.0,Poki,2x1,Nook's Cranny; HHP Office,,,,151,school,office,,,,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_1_1,1_1,12715,JymHZtbqF98tn9KA2,31AB,"(1, 32)"
bulletin board,,Bright,Style,Illustration,Displayed image,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,Blue,White,1300.0,Poki,2x1,Nook's Cranny; HHP Office,,,,151,school,office,,,,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_1_2,1_2,12715,oraRPQLJCkhs6baPQ,31AB,"(1, 64)"
bulletin board,,Happy,Style,Scenery,Displayed image,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,White,Aqua,1300.0,Poki,2x1,Nook's Cranny; HHP Office,,,,151,school,office,,,,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_2_0,2_0,12715,cT8q5LP9NqNEpmKya,31AB,"(2, 0)"
bulletin board,,Happy,Style,People,Displayed image,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,White,Beige,1300.0,Poki,2x1,Nook's Cranny; HHP Office,,,,151,school,office,,,,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_2_1,2_1,12715,qLH6pbArEpYkzChqL,31AB,"(2, 32)"
bulletin board,,Happy,Style,Illustration,Displayed image,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,White,White,1300.0,Poki,2x1,Nook's Cranny; HHP Office,,,,151,school,office,,,,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_2_2,2_2,12715,skSMzhZGkYvd3PZ89,31AB,"(2, 64)"
Bunny Day glowy garland,,,,,,Yes,No,No,,,,,NFS,2400,Colorful,Colorful,,,2x1,Crafting,,Bunny Day (days before); Bunny Day,Yes,351,fancy,party,Bunny Day,,,Yes,Supplies,No,Emission,No,Not for sale,1.1.0,Yes,FtrEggLampWall,,12417,5BcF8Sk7rTzrG3pzr,3081,
Bunny Day wall clock,,,,,,Yes,No,No,,,,,NFS,1200,Aqua,Colorful,,,1x1.5,Crafting,,Bunny Day (days before); Bunny Day,Yes,351,fancy,,Bunny Day,,Clock,Yes,Clock,No,No lighting,No,Not for sale,1.1.0,Yes,FtrEggClock,,12418,Tb7KSuoRanow4ekqm,3082,
Bunny Day wreath,,,,,,Yes,No,No,,,,,NFS,2400,Colorful,Yellow,,,1x1,Crafting,,Bunny Day (days before); Bunny Day,Yes,351,fancy,party,Bunny Day,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.1.0,Yes,FtrDoorOrnamentWreathEaster,,12517,4HcJP4W3RFWRSbspS,30E5,
butterfly-fish model,,,,,,No,No,No,,,,,1300,325,Yellow,Yellow,1200.0,Poki,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",,,151,ocean,facility,,,,No,Special Fish,No,No lighting,No,For sale,1.0.0,Yes,FtrFishChouchouuoWall,,11182,QgzRi2QqTEcpKac5q,2BAE,
cherry lamp,,Cherry,Fruit color,,,Yes,Yes,No,,4.0,Normal,3100.0,NFS,2400,Red,Green,,,1x1,Crafting,,,,103,fancy,,fruits,cherry,Lighting,Yes,Lamp,No,Fluorescent,No,Not for sale,1.0.0,Yes,FtrFruitsLampW_Remake_0_0,0_0,4012,LvZKcdaWM6pSLdxni,0FAC,"(0, 0)"
cherry lamp,,Black cherry,Fruit color,,,Yes,Yes,No,,4.0,Normal,3100.0,NFS,2400,Red,Green,,,1x1,Crafting,,,,103,fancy,,fruits,cherry,Lighting,Yes,Lamp,No,Fluorescent,No,Not for sale,1.0.0,Yes,FtrFruitsLampW_Remake_1_0,1_0,4012,NWu6WpRu8MpRXPwii,0FAC,"(1, 0)"
cherry-blossom clock,,Pink,Color,,,Yes,Yes,No,,4.0,Normal,3100.0,NFS,2750,Pink,Pink,,,1x1,Crafting,,cherry-blossom petals,Yes,201,harmonious,fancy,cherry blossoms,,Clock,Yes,Clock,No,No lighting,No,Not for sale,1.0.0,Yes,FtrSakuraClockW_Remake_0_0,0_0,6832,tb9y9v6vrf98WExq7,1AB0,"(0, 0)"
cherry-blossom clock,,Pink-white,Color,,,Yes,Yes,No,,4.0,Normal,3100.0,NFS,2750,Pink,White,,,1x1,Crafting,,cherry-blossom petals,Yes,201,harmonious,fancy,cherry blossoms,,Clock,Yes,Clock,No,No lighting,No,Not for sale,1.0.0,Yes,FtrSakuraClockW_Remake_1_0,1_0,6832,iw6Qpmkn6qEaenEtP,1AB0,"(1, 0)"
chic cosmos wreath,,,,,,Yes,No,No,,,,,NFS,4800,Black,Black,,,1x1,Crafting,,,,103,fancy,nature,flowers,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathCosmosRare,,5764,DgLEZbDS2BsJ59K78,1684,
chic windflower wreath,,,,,,Yes,No,No,,,,,NFS,4800,Purple,Purple,,,1x1,Crafting,,,,103,fancy,nature,flowers,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathAnemoneRare,,5765,tBJvNsSQvk8ajonsT,1685,
coconut wall planter,,,,,,Yes,No,No,,,,,NFS,600,Green,Beige,,,1x1.5,Crafting,,,,103,ocean,living room,,,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,Yes,FtrPlanterPalm,,4130,wsXGBE5N9NwenYTRj,1022,
cool hyacinth wreath,,,,,,Yes,No,No,,,,,NFS,1440,Blue,Orange,,,1x1,Crafting,,,,103,fancy,nature,flowers,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathHyacinthMix,,5750,MLMnpWFmufqDeg479,1676,
cool pansy wreath,,,,,,Yes,No,No,,,,,NFS,4800,Purple,Purple,,,1x1,Crafting,,,,103,fancy,nature,flowers,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathPansyRare,,5767,wS4t24ixhhAnsRXFB,1687,
cool windflower wreath,,,,,,Yes,No,No,,,,,NFS,1200,Blue,Blue,,,1x1,Crafting,,,,103,fancy,nature,flowers,,,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathAnemoneMix,,5746,uZT5wfceZaKMP2nZZ,1672,
corkboard,,Natural,Frame,Apple,Favorite card,No,No,Yes,Default; Custom; Sable,1.0,Normal,1000.0,1400,350,Beige,Red,1300.0,Poki,2x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,,,151,school,office,,,,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrCorkboard_Remake_0_0,0_0,1783,5QL4Epdhwtt3e6CKB,06F7,"(0, 0)"
corkboard,,Natural,Frame,Fish,Favorite card,No,No,Yes,Default; Custom; Sable,1.0,Normal,1000.0,1400,350,Beige,Blue,1300.0,Poki,2x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,,,151,school,office,,,,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrCorkboard_Remake_0_1,0_1,1783,QBTmJYYjs9Bjx9fvz,06F7,"(0, 32)"
