Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Stack Size,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Food Power,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID,Internal ID as hex,Variant Pattern Encoded
agrias butterfly model,,,,,,No,No,No,,1,,,,NFS,9000,Pink,Purple,1x1,No,,,Flick,Trade 3 insects to receive a model in the mail the next day,,,251,,,,,,No,Insect,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrInsectMiirotatehaToy,,7080,6SKoKnXhrf2dk6JZb,1BA8,
air circulator,,White,Color,,,No,No,No,,1,,,1000.0,1100,275,White,White,1x1,No,990.0,Poki,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Summer (shopping),No,151,living room,office,,,AC,Yes,Office,Yes,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrCirculator_Remake_0_0,0_0,3821,J4inuBziPCSGZNEPM,0EED,"(0, 0)"
air circulator,,Black,Color,,,No,No,No,,1,,,1000.0,1100,275,Black,Gray,1x1,No,990.0,Poki,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Summer (shopping),No,151,living room,office,,,AC,Yes,Office,Yes,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrCirculator_Remake_1_0,1_0,3821,E2dZPSD94isFZWd2F,0EED,"(1, 0)"
air circulator,,Pink,Color,,,No,No,No,,1,,,1000.0,1100,275,Pink,Pink,1x1,No,990.0,Poki,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Summer (shopping),No,151,living room,office,,,AC,Yes,Office,Yes,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrCirculator_Remake_2_0,2_0,3821,uAY6FFGdXWeAG9gMa,0EED,"(2, 0)"
air circulator,,Green,Color,,,No,No,No,,1,,,1000.0,1100,275,Green,Gray,1x1,No,990.0,Poki,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Summer (shopping),No,151,living room,office,,,AC,Yes,Office,Yes,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrCirculator_Remake_3_0,3_0,3821,bGCQ9bA27ftHoLoKb,0EED,"(3, 0)"
air circulator,,Yellow,Color,,,No,No,No,,1,,,1000.0,1100,275,Yellow,Gray,1x1,No,990.0,Poki,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Summer (shopping),No,151,living room,office,,,AC,Yes,Office,Yes,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrCirculator_Remake_4_0,4_0,3821,5pBqNZaZWveKR6K5s,0EED,"(4, 0)"
aji fry,,,,,,Yes,No,No,,1,,,,NFS,540,Yellow,Brown,1x1,No,,,Cooking,,,,103,restaurant,,,,Food,No,DishFood,No,Does not play music,No lighting,5.0,Not for sale,2.0.0,Yes,FtrFishdishHorsemackere,,14163,Ny5vq5NZYAjqz9GGS,3753,
aloha-edition carrying case,,,,,,No,No,No,,1,,,,NFS,620,Green,White,1x1,No,60.0,Nook Points,NookLink,Mailed to players once ordered from NookLink within the Nintendo Switch Online app,,,431,child's room,living room,,,,No,Game Console,No,Does not play music,No lighting,,Not for sale,1.9.0,Yes,FtrSwitchcaseAC,,14298,Xst6pYcpfnfw3WKx2,37DA,
aluminum briefcase,,Stacks of cash,Contents,,,No,No,No,,1,,,5200.0,100000,25000,Gray,Yellow,1x1,No,90000.0,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",,,251,office,expensive,,,,Yes,Museum,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrDuralumincase_Remake_0_0,0_0,7453,7ovsY7XPNCW3YQAJA,1D1D,"(0, 0)"
aluminum briefcase,,Gold bars,Contents,,,No,No,No,,1,,,5200.0,100000,25000,Gray,Yellow,1x1,No,90000.0,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",,,251,office,expensive,,,,Yes,Museum,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrDuralumincase_Remake_1_0,1_0,7453,Yympao5irjJgMNW6d,1D1D,"(1, 0)"
analog kitchen scale,,Red,Color,,,No,No,No,,1,,,1000.0,1100,275,Red,White,1x1,No,990.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,kitchen,restaurant,,,,Yes,Kitchen Things,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrWeighing_Remake_0_0,0_0,3993,6WMJcEFXoWt9mmtvE,0F99,"(0, 0)"
analog kitchen scale,,Yellow,Color,,,No,No,No,,1,,,1000.0,1100,275,Yellow,White,1x1,No,990.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,kitchen,restaurant,,,,Yes,Kitchen Things,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrWeighing_Remake_1_0,1_0,3993,YfYgj2jXPy6sip9Qu,0F99,"(1, 0)"
analog kitchen scale,,Green,Color,,,No,No,No,,1,,,1000.0,1100,275,Green,White,1x1,No,990.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,kitchen,restaurant,,,,Yes,Kitchen Things,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrWeighing_Remake_2_0,2_0,3993,Spi4XHmdPD2CX7xL4,0F99,"(2, 0)"
analog kitchen scale,,Blue,Color,,,No,No,No,,1,,,1000.0,1100,275,Blue,White,1x1,No,990.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,kitchen,restaurant,,,,Yes,Kitchen Things,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrWeighing_Remake_3_0,3_0,3993,LgKQD3p9WLzfg3GN4,0F99,"(3, 0)"
analog kitchen scale,,Pink,Color,,,No,No,No,,1,,,1000.0,1100,275,Pink,White,1x1,No,990.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,kitchen,restaurant,,,,Yes,Kitchen Things,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrWeighing_Remake_4_0,4_0,3993,FJHLtvYAkJLBCyvKZ,0F99,"(4, 0)"
analog kitchen scale,,Ivory,Color,,,No,No,No,,1,,,1000.0,1100,275,Yellow,White,1x1,No,990.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,kitchen,restaurant,,,,Yes,Kitchen Things,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrWeighing_Remake_5_0,5_0,3993,o8gB7rkjtK8geGeMW,0F99,"(5, 0)"
analog kitchen scale,,Light blue,Color,,,No,No,No,,1,,,1000.0,1100,275,Aqua,White,1x1,No,990.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,kitchen,restaurant,,,,Yes,Kitchen Things,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrWeighing_Remake_6_0,6_0,3993,Xd3pqsLgpnFeWC46C,0F99,"(6, 0)"
analog kitchen scale,,Silver,Color,,,No,No,No,,1,,,1000.0,1100,275,Gray,White,1x1,No,990.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,kitchen,restaurant,,,,Yes,Kitchen Things,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrWeighing_Remake_7_0,7_0,3993,2Sw2GvGbFtnz6Ft7g,0F99,"(7, 0)"
anchoas al ajillo,,,,,,Yes,No,No,,1,,,,NFS,600,Gray,Colorful,1x1,No,,,Cooking,,,,103,party,restaurant,,,Food,No,DishFood,No,Does not play music,No lighting,5.0,Not for sale,2.0.0,Yes,FtrSkilletAnchovy,,14178,byDHcwQaDYkpN9CTB,3762,
anchovy model,,,,,,No,No,No,,1,,,,NFS,600,Blue,Black,1x1,No,,,C.J.,Trade 3 fish to receive a model in the mail the next day,,,251,,,,,,No,Fish,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrFishAntyobiToy,,6999,jqs5hyDDgiozw7D6W,1B57,
angelfish model,,,,,,No,No,No,,1,,,,NFS,9000,Yellow,Black,1x1,No,,,C.J.,Trade 3 fish to receive a model in the mail the next day,,,251,,,,,,No,Fish,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrFishAngelfishToy,,6933,c68YashL9kXvfwLp4,1B15,
ant farm,,,,,,No,No,No,,1,,,,1400,350,Green,Brown,1x1,No,1300.0,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",,,151,lab,child's room,,,,No,Special Insect,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrInsectAriFarm,,11866,nuqhnEuJinwzRrp2z,2E5A,
ant model,,,,,,No,No,No,,1,,,,NFS,240,Black,Black,1x1,No,,,Flick,Trade 3 insects to receive a model in the mail the next day,,,251,,,,,,No,Insect,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrInsectAriToy,,7053,pvyXsn72duZvP5csK,1B8D,
anthurium plant,,Red,Color,,,No,No,No,,1,,,1000.0,990,247,Red,Green,1x1,No,890.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,living room,,,,Plant,No,Plants,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrPlantAnthurium_Remake_0_0,0_0,3949,BfZjDAavNeyem3bFX,0F6D,"(0, 0)"
anthurium plant,,Berry red,Color,,,No,No,No,,1,,,1000.0,990,247,Red,Green,1x1,No,890.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,living room,,,,Plant,No,Plants,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrPlantAnthurium_Remake_1_0,1_0,3949,8r8yH5cDR9D94dWE2,0F6D,"(1, 0)"
anthurium plant,,Green,Color,,,No,No,No,,1,,,1000.0,990,247,Red,Green,1x1,No,890.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,living room,,,,Plant,No,Plants,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrPlantAnthurium_Remake_2_0,2_0,3949,9WXR8N8LWcLgcbuTq,0F6D,"(2, 0)"
anthurium plant,,Pink,Color,,,No,No,No,,1,,,1000.0,990,247,Pink,Green,1x1,No,890.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,living room,,,,Plant,No,Plants,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrPlantAnthurium_Remake_3_0,3_0,3949,eRvZ8pBJ2gMbQXTTC,0F6D,"(3, 0)"
anthurium plant,,White,Color,,,No,No,No,,1,,,1000.0,990,247,White,Green,1x1,No,890.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,living room,,,,Plant,No,Plants,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrPlantAnthurium_Remake_4_0,4_0,3949,X5WqEpcbqAunjxS4f,0F6D,"(4, 0)"
antique cash register,,Gold,Color,,,No,No,No,,1,,,5200.0,21000,5250,Yellow,Yellow,1x1,No,18900.0,Poki,Nook's Cranny; HHP Office,,,,103,retro,shop,,,,Yes,Shop,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrRegisterRetro_Remake_0_0,0_0,12713,MyCi9SoKZRJ5AHFZM,31A9,"(0, 0)"
antique cash register,,Silver,Color,,,No,No,No,,1,,,5200.0,21000,5250,Gray,Gray,1x1,No,18900.0,Poki,Nook's Cranny; HHP Office,,,,103,retro,shop,,,,Yes,Shop,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrRegisterRetro_Remake_1_0,1_0,12713,93jYiazwyv8maeqhb,31A9,"(1, 0)"
antique cash register,,Copper,Color,,,No,No,No,,1,,,5200.0,21000,5250,Brown,Brown,1x1,No,18900.0,Poki,Nook's Cranny; HHP Office,,,,103,retro,shop,,,,Yes,Shop,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrRegisterRetro_Remake_2_0,2_0,12713,EkXmjZAZLfP4BwhXR,31A9,"(2, 0)"
antique cash register,,Black,Color,,,No,No,No,,1,,,5200.0,21000,5250,Black,Black,1x1,No,18900.0,Poki,Nook's Cranny; HHP Office,,,,103,retro,shop,,,,Yes,Shop,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrRegisterRetro_Remake_3_0,3_0,12713,gQwXjDKpBAQsuT8Nf,31A9,"(3, 0)"
antique cash register,,White,Color,,,No,No,No,,1,,,5200.0,21000,5250,White,White,1x1,No,18900.0,Poki,Nook's Cranny; HHP Office,,,,103,retro,shop,,,,Yes,Shop,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrRegisterRetro_Remake_4_0,4_0,12713,JDFQcqPuqjqad7yNN,31A9,"(4, 0)"
antique map,,,,Treasure map,Variation,No,No,Yes,Default,1,7.0,Normal,5200.0,31000,7750,Orange,Red,1x1,No,27900.0,Poki,Nook's Cranny; HHP Office,,,,103,den,retro,,,,No,Study,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrTreasuremap_Remake_0_0,0_0,13652,A8Ftvf5EwZ8RPHDkw,3554,"(0, 0)"
antique map,,,,Ship-route map,Variation,No,No,Yes,Default,1,7.0,Normal,5200.0,31000,7750,Beige,Brown,1x1,No,27900.0,Poki,Nook's Cranny; HHP Office,,,,103,den,retro,,,,No,Study,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrTreasuremap_Remake_0_1,0_1,13652,vQAWuoSvHpzpQqkNC,3554,"(0, 32)"
antique map,,,,World map,Variation,No,No,Yes,Default,1,7.0,Normal,5200.0,31000,7750,Aqua,Yellow,1x1,No,27900.0,Poki,Nook's Cranny; HHP Office,,,,103,den,retro,,,,No,Study,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrTreasuremap_Remake_0_2,0_2,13652,ZSzKi8JfyEPw3CBTf,3554,"(0, 64)"
antique radio,,Brown,Color,,,No,No,No,,1,,,3800.0,13000,3250,Brown,Brown,1x1,No,11700.0,Poki,Nook's Cranny; HHP Office,,,,103,retro,expensive,antique,,Audio,Yes,Audio,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrRadioRetro_Remake_0_0,0_0,13270,56Gg6MuiA6hmTE2kt,33D6,"(0, 0)"
antique radio,,Natural,Color,,,No,No,No,,1,,,3800.0,13000,3250,Orange,Orange,1x1,No,11700.0,Poki,Nook's Cranny; HHP Office,,,,103,retro,expensive,antique,,Audio,Yes,Audio,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrRadioRetro_Remake_1_0,1_0,13270,XA9Pu3StKjzKSMqJE,33D6,"(1, 0)"
antique radio,,Black,Color,,,No,No,No,,1,,,3800.0,13000,3250,Black,Black,1x1,No,11700.0,Poki,Nook's Cranny; HHP Office,,,,103,retro,expensive,antique,,Audio,Yes,Audio,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrRadioRetro_Remake_2_0,2_0,13270,NyLLrbcm4AfLSqQzC,33D6,"(2, 0)"
apple jam,,,,,,Yes,No,No,,1,,,,NFS,450,Red,White,1x1,No,,,Cooking,,,,103,kitchen,shop,,,Food,No,DishFood,No,Does not play music,No lighting,5.0,Not for sale,2.0.0,Yes,FtrJarApple,,14176,3kB7rDnaWJ86f8Cav,3760,
apple jelly,,,,,,Yes,No,No,,1,,,,NFS,300,Yellow,Gray,1x1,No,,,Cooking,,,,103,café,party,,,Food,Yes,DishFood,No,Does not play music,No lighting,5.0,Not for sale,2.0.0,Yes,FtrJellyApple,,13971,TBuy7BsAGZosfRjr6,3693,
apple pie,,,,,,Yes,No,No,,1,,,,NFS,1880,Beige,White,1x1,No,,,Cooking,,,,103,party,shop,,,Food,No,DishFood,No,Does not play music,No lighting,5.0,Not for sale,2.0.0,Yes,FtrPieApple,,13944,megLzZbneK5inTWC9,3678,
apple smoothie,,,,,,Yes,No,No,,1,,,,NFS,300,Yellow,Red,1x1,No,,,Cooking,,,,103,café,restaurant,,,,No,DishDrink,No,Does not play music,No lighting,2.0,Not for sale,2.0.0,Yes,FtrSmoothieApple,,14000,qKqba8bLn4GSD2R68,36B0,
apple tart,,,,,,Yes,No,No,,1,,,,NFS,780,Beige,White,1x1,No,,,Cooking,,,,103,café,party,,,Food,No,DishFood,No,Does not play music,No lighting,5.0,Not for sale,2.0.0,Yes,FtrTartApple,,13947,TJfrTGkfvZBDmKzmf,367B,
arapaima model,,,,,,No,No,No,,1,,,,NFS,30000,Black,Black,2x1,No,,,C.J.,Trade 3 fish to receive a model in the mail the next day,,,251,,,,,,No,Fish,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrFishPirarukuToy,,7006,mYrf2qXTygc8GphQC,1B5E,
aroma pot,,White,Color,,,Yes,Yes,No,,1,1.0,Normal,1000.0,NFS,600,White,Aqua,1x1,No,,,Crafting,,,,103,living room,stylish,,,SmallGoods,Yes,Shop,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrAlomapot_Remake_0_0,0_0,1753,6AqmYqJXkqoYTfJej,06D9,"(0, 0)"
aroma pot,,Brown,Color,,,Yes,Yes,No,,1,1.0,Normal,1000.0,NFS,600,Brown,Orange,1x1,No,,,Crafting,,,,103,living room,stylish,,,SmallGoods,Yes,Shop,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrAlomapot_Remake_1_0,1_0,1753,kv6phyzaTZRerstP4,06D9,"(1, 0)"
aroma pot,,Green,Color,,,Yes,Yes,No,,1,1.0,Normal,1000.0,NFS,600,Green,Green,1x1,No,,,Crafting,,,,103,living room,stylish,,,SmallGoods,Yes,Shop,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrAlomapot_Remake_2_0,2_0,1753,QQLoouuttf58T3ufJ,06D9,"(2, 0)"
aroma pot,,Pink,Color,,,Yes,Yes,No,,1,1.0,Normal,1000.0,NFS,600,Pink,Pink,1x1,No,,,Crafting,,,,103,living room,stylish,,,SmallGoods,Yes,Shop,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrAlomapot_Remake_3_0,3_0,1753,tLn4NcyuPmuHXgKn8,06D9,"(3, 0)"
aroma pot,,Cream,Color,,,Yes,Yes,No,,1,1.0,Normal,1000.0,NFS,600,Beige,Green,1x1,No,,,Crafting,,,,103,living room,stylish,,,SmallGoods,Yes,Shop,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrAlomapot_Remake_4_0,4_0,1753,5RFavNA2iBfAcQCK4,06D9,"(4, 0)"
aroma pot,,Black,Color,,,Yes,Yes,No,,1,1.0,Normal,1000.0,NFS,600,Black,Blue,1x1,No,,,Crafting,,,,103,living room,stylish,,,SmallGoods,Yes,Shop,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrAlomapot_Remake_5_0,5_0,1753,YZgdtQSYDiw8TTXzJ,06D9,"(5, 0)"
arowana model,,,,,,No,No,No,,1,,,,NFS,30000,Yellow,Black,1x1,No,,,C.J.,Trade 3 fish to receive a model in the mail the next day,,,251,,,,,,No,Fish,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrFishArowanaToy,,6935,SeSQEP9r8f4ZH3ZgP,1B17,
Baby bear,,Cream,Design,,Shirt,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,1800,450,Beige,White,1x1,No,1600.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,child's room,,bear,Doll,No,Animal,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrBearS_Remake_0_0,0_0,1501,g2XmJfB8pFYwRq9F6,05DD,"(0, 0)"
Baby bear,,Cream,Design,Heart,Shirt,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,1800,450,Beige,Red,1x1,No,1600.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,child's room,,bear,Doll,No,Animal,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrBearS_Remake_0_1,0_1,1501,SSKzzn4PKuGQwr2pL,05DD,"(0, 32)"
Baby bear,,Cream,Design,Fish,Shirt,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,1800,450,Beige,Blue,1x1,No,1600.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,child's room,,bear,Doll,No,Animal,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrBearS_Remake_0_2,0_2,1501,36HzWPnuJQGP8dQ3J,05DD,"(0, 64)"
Baby bear,,Cream,Design,Star,Shirt,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,1800,450,Beige,Yellow,1x1,No,1600.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,child's room,,bear,Doll,No,Animal,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrBearS_Remake_0_3,0_3,1501,ejuF7sTa4N64k8AD9,05DD,"(0, 96)"
Baby bear,,Caramel mocha,Design,,Shirt,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,1800,450,Beige,Beige,1x1,No,1600.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,child's room,,bear,Doll,No,Animal,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrBearS_Remake_1_0,1_0,1501,pkRq4pGLsBgZJs6Zz,05DD,"(1, 0)"
Baby bear,,Caramel mocha,Design,Heart,Shirt,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,1800,450,Beige,Red,1x1,No,1600.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,child's room,,bear,Doll,No,Animal,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrBearS_Remake_1_1,1_1,1501,vXLCKkgzYCK7KQjgp,05DD,"(1, 32)"
Baby bear,,Caramel mocha,Design,Fish,Shirt,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,1800,450,Beige,Blue,1x1,No,1600.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,child's room,,bear,Doll,No,Animal,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrBearS_Remake_1_2,1_2,1501,GvyMQSw6Y7dAssqLE,05DD,"(1, 64)"
Baby bear,,Caramel mocha,Design,Star,Shirt,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,1800,450,Beige,Yellow,1x1,No,1600.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,child's room,,bear,Doll,No,Animal,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrBearS_Remake_1_3,1_3,1501,B85z59MD8h7M9Ctrk,05DD,"(1, 96)"
Baby bear,,Choco,Design,,Shirt,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,1800,450,Brown,Brown,1x1,No,1600.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,child's room,,bear,Doll,No,Animal,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrBearS_Remake_2_0,2_0,1501,2T9YQNT5fZytrqrwK,05DD,"(2, 0)"
