Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Primary Shape,Secondary Shape,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID,Internal ID as hex
ancient princess costume,,,,No,3000,750.0,201,Green,Beige,1x1,,,Nook Shopping Promotion,,,,All Year,All Year,,Womanly,Womanly,Elegant,Cute,fairy tale,1,Yes,B-long,N,Not in catalog,3.0.0,Yes,TopsTexOnepieceBlongNZelda0,1532,1055,phN2rNqBHuueHmzC5,041F
ancient sashed robe,,,Red,No,2520,630.0,51,Pink,Red,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Elegant,Cute,formal,1,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukuwomen2,774,9163,fkKFHi8LSBqQnF5fP,23CB
ancient sashed robe,,,Pink,No,2520,630.0,51,Pink,Purple,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Elegant,Cute,formal,2,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukuwomen1,774,9162,vRcHxEwpupmHocSZi,23CA
ancient sashed robe,,,Green,No,2520,630.0,51,Green,Red,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Elegant,Cute,formal,3,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukuwomen0,774,5519,9ia2ueaAKgT25KpLq,158F
ancient sashed robe,,,Blue,No,2520,630.0,51,Aqua,Blue,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Elegant,Cute,formal,4,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukuwomen3,774,9164,eZq27jsCvY5jxiyJX,23CC
ancient sashed robe,,,Purple,No,2520,630.0,51,Purple,Purple,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Elegant,Cute,formal,5,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukuwomen4,774,9165,jr6P62azs7uQ2gzjL,23CD
áo dài,,,White,No,2520,630.0,51,White,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Elegant,Gorgeous,everyday; formal,1,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAodai0,181,3493,KPYgXwbrnLgBT7aaS,0DA5
áo dài,,,Pink,No,2520,630.0,51,Pink,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Elegant,Gorgeous,everyday; formal,2,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAodai4,181,9144,EhoEQfAaNHBCYq6ET,23B8
áo dài,,,Yellow,No,2520,630.0,51,Yellow,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Elegant,Gorgeous,everyday; formal,3,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAodai2,181,9142,iCHJh668S3FYby4iz,23B6
áo dài,,,Green,No,2520,630.0,51,Green,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Elegant,Gorgeous,everyday; formal,4,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAodai3,181,9143,bkv3c36HA4856YrPL,23B7
áo dài,,,Navy blue,No,2520,630.0,51,Blue,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Elegant,Gorgeous,everyday; formal,5,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAodai1,181,9141,qJ6wpwNd8tRK4mJqt,23B5
apple dress,,,,Yes,NFS,1600.0,103,Yellow,Red,1x1,,,Crafting,,,,All Year,Autumn,,Free,Free,Cute,Cute,fairy tale; party; theatrical,1,Yes,A-line,N,Not for sale,1.0.0,Yes,TopsTexOnepieceAlineNApple0,1087,9836,4r6bu79MTGChcioYr,266C
astro dress,,,Pink,No,2500,625.0,51,Gray,Pink,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Simple,fairy tale; theatrical,1,Yes,A-line,N,For sale,1.0.0,Yes,TopsTexOnepieceAlineNSpace2,586,7891,MCrJgJnwLXfXbNiTA,1ED3
astro dress,,,Green,No,2500,625.0,51,Gray,Green,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Simple,fairy tale; theatrical,2,Yes,A-line,N,For sale,1.0.0,Yes,TopsTexOnepieceAlineNSpace1,586,7890,Zwb2C5oFXQ3ip2KTb,1ED2
astro dress,,,Blue,No,2500,625.0,51,Gray,Blue,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Simple,fairy tale; theatrical,3,Yes,A-line,N,For sale,1.0.0,Yes,TopsTexOnepieceAlineNSpace0,586,5135,YgSrhdHZosAdNtDvp,140F
athletic outfit,,,Red,No,1500,375.0,51,Red,Black,1x1,,,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Active,sporty,1,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform0,1406,14422,SRFZfSW3rpFSnHwfu,3856
athletic outfit,,,Light blue,No,1500,375.0,51,Blue,Black,1x1,,,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Active,sporty,2,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform1,1406,127,KEhz46i7Q5pRBSACW,007F
athletic outfit,,,Yellow,No,1500,375.0,51,Yellow,Black,1x1,,,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Active,sporty,3,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform2,1406,128,L5CXYu6NQJcgEwg2B,0080
athletic outfit,,,Green,No,1500,375.0,51,Green,Black,1x1,,,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Active,sporty,4,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform3,1406,129,infF6h7knZPGbpN5N,0081
athletic outfit,,,Orange,No,1500,375.0,51,Orange,Black,1x1,,,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Active,sporty,5,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform4,1406,130,Pop3bPNrvZGhEnszg,0082
athletic outfit,,,Pink,No,1500,375.0,51,Pink,Black,1x1,,,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Active,sporty,6,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform5,1406,133,82YwAXhuSy7HpDgKN,0085
athletic outfit,,,Purple,No,1500,375.0,51,Purple,Black,1x1,,,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Active,sporty,7,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform6,1406,135,tHhuqdPmf9okgtyff,0087
athletic outfit,,,Navy blue,No,1500,375.0,51,Black,Black,1x1,,,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Active,sporty,8,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform7,1406,137,RjujXsE5sJzMjNHbe,0089
attus robe,,,Red,No,2520,630.0,51,Red,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Elegant,everyday; formal,1,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAttoushi2,1158,11999,GKPivR7QXbRhAH589,2EDF
attus robe,,,Blue,No,2520,630.0,51,Blue,Beige,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Elegant,everyday; formal,2,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAttoushi0,1158,10907,GCnizpuhnhMnWodB6,2A9B
attus robe,,,Brown,No,2520,630.0,51,Brown,Aqua,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Elegant,everyday; formal,3,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAttoushi1,1158,11998,uWaA98hr4zo2nE424,2EDE
baby romper,,,Baby pink,No,1920,480.0,51,Red,Red,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Simple,fairy tale; comfy,1,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers4,393,7831,xugKSBhsTLu7iJHqf,1E97
baby romper,,,Baby purple,No,1920,480.0,51,Pink,Pink,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Simple,fairy tale; comfy,2,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers1,393,7828,xaNwcn2BKpELEEcJu,1E94
baby romper,,,Baby orange,No,1920,480.0,51,Orange,Orange,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Simple,fairy tale; comfy,3,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers7,393,7834,63PAmvstBoJvzyYq9,1E9A
baby romper,,,Baby yellow,No,1920,480.0,51,Yellow,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Simple,fairy tale; comfy,4,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers2,393,7829,jATy7chF9RZSpzgkM,1E95
baby romper,,,Baby green,No,1920,480.0,51,Green,Green,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Simple,fairy tale; comfy,5,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers3,393,7830,3wYgbYbbc9R7XK6sT,1E96
baby romper,,,Baby mint,No,1920,480.0,51,Aqua,Aqua,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Simple,fairy tale; comfy,6,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers0,393,4470,fpTozgJHe8zAbuoJr,1176
baby romper,,,Baby blue,No,1920,480.0,51,Blue,Blue,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Simple,fairy tale; comfy,7,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers6,393,7833,6SATwHBYcR8soiT2n,1E99
baby romper,,,Baby gray,No,1920,480.0,51,Beige,Beige,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Simple,fairy tale; comfy,8,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers5,393,7832,AXWwhihKEF9GCxh7R,1E98
baby-chick costume,,,Yellow,No,1700,425.0,51,Yellow,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,All Year,Free,Free,Cute,Cute,fairy tale; party; theatrical,1,Yes,Rib,N,For sale,1.0.0,Yes,TopsTexOnepieceRibNChick0,805,5644,YA7qY7v9XHAvmqbXH,160C
baby-chick costume,,,Blue,No,1700,425.0,51,Aqua,Aqua,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Free,Free,Cute,Cute,fairy tale; party; theatrical,2,Yes,Rib,N,For sale,1.0.0,Yes,TopsTexOnepieceRibNChick1,805,9640,gW7sLivQcaehgbjXP,25A8
baby-chick costume,,,Beige,No,1700,425.0,51,Beige,Beige,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Free,Free,Cute,Cute,fairy tale; party; theatrical,3,Yes,Rib,N,For sale,1.0.0,Yes,TopsTexOnepieceRibNChick2,805,9641,ypSLLZTw54xErGjfT,25A9
baji jeogori,,,Black,No,2520,630.0,51,Black,Gray,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Manly,Manly,Elegant,Elegant,formal,1,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKorea3,892,9168,MapEioZAxqTnzK2Mz,23D0
baji jeogori,,,Aqua,No,2520,630.0,51,Aqua,Pink,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Manly,Manly,Elegant,Elegant,formal,2,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKorea2,892,9167,AJkbvYDxyGcQpGKFG,23CF
baji jeogori,,,Blue,No,2520,630.0,51,Blue,Aqua,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Manly,Manly,Elegant,Elegant,formal,3,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKorea0,892,5818,oiNZmTDej7FHJY8Ab,16BA
baji jeogori,,,Purple,No,2520,630.0,51,Purple,Pink,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Manly,Manly,Elegant,Elegant,formal,4,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKorea1,892,9166,MiGR4W6zqSmxAaidp,23CE
ballet outfit,,,White,No,2880,720.0,51,White,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Cute,Active,fairy tale; sporty; theatrical; work,1,Yes,Balloon,N,For sale,1.0.0,Yes,TopsTexOnepieceBalloonNBallet5,66,9416,cRmBbYvn7e6bdJBfi,24C8
ballet outfit,,,Black,No,2880,720.0,51,Black,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Cute,Active,fairy tale; sporty; theatrical; work,2,Yes,Balloon,N,For sale,1.0.0,Yes,TopsTexOnepieceBalloonNBallet4,66,9415,cZuKQFyeLymFGDngJ,24C7
ballet outfit,,,Red,No,2880,720.0,51,Red,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Cute,Active,fairy tale; sporty; theatrical; work,3,Yes,Balloon,N,For sale,1.0.0,Yes,TopsTexOnepieceBalloonNBallet7,66,9418,BXLtytts48iRPNmy9,24CA
ballet outfit,,,Pink,No,2880,720.0,51,Pink,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Cute,Active,fairy tale; sporty; theatrical; work,4,Yes,Balloon,N,For sale,1.0.0,Yes,TopsTexOnepieceBalloonNBallet0,66,3166,PR8F8HXT6zhFmiSoL,0C5E
ballet outfit,,,Yellow,No,2880,720.0,51,Yellow,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Cute,Active,fairy tale; sporty; theatrical; work,5,Yes,Balloon,N,For sale,1.0.0,Yes,TopsTexOnepieceBalloonNBallet6,66,9417,wFeRZDBHF9PmpaH8q,24C9
ballet outfit,,,Mint,No,2880,720.0,51,Green,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Cute,Active,fairy tale; sporty; theatrical; work,6,Yes,Balloon,N,For sale,1.0.0,Yes,TopsTexOnepieceBalloonNBallet1,66,9412,5ppj9ELW2ts4jnpfK,24C4
ballet outfit,,,Blue,No,2880,720.0,51,Blue,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Cute,Active,fairy tale; sporty; theatrical; work,7,Yes,Balloon,N,For sale,1.0.0,Yes,TopsTexOnepieceBalloonNBallet2,66,9413,xZnnLbWuk4NqYx7da,24C5
ballet outfit,,,Purple,No,2880,720.0,51,Purple,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Womanly,Cute,Active,fairy tale; sporty; theatrical; work,8,Yes,Balloon,N,For sale,1.0.0,Yes,TopsTexOnepieceBalloonNBallet3,66,9414,a3SPLxg8gvdHASamJ,24C6
balmacaan coat,,,Avocado,No,1540,385.0,51,Green,Green,1x1,,,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,Winter,Free,Free,Simple,Cool,everyday,1,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLBalmakarn0,472,4606,ZSrYa9yCZuEtRuDXa,11FE
balmacaan coat,,,Navy blue,No,1540,385.0,51,Blue,Blue,1x1,,,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Free,Simple,Cool,everyday,2,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLBalmakarn2,472,9307,6dMCMfwf8Gekwt6ww,245B
balmacaan coat,,,Beige,No,1540,385.0,51,Beige,Beige,1x1,,,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Free,Simple,Cool,everyday,3,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLBalmakarn1,472,9306,j36QhnToq72NcFoTv,245A
baseball uniform,,,Orange,No,1760,440.0,51,Black,Orange,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,1,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLBaseball3,202,11108,3gxYZqHjofPiXoQYi,2B64
baseball uniform,,,Yellow,No,1760,440.0,51,Black,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,2,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLBaseball4,202,11109,DhRRcfvrdTfMFERYf,2B65
baseball uniform,,,Red,No,1760,440.0,51,Red,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,3,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLBaseball0,202,3611,HhoXdZZZWxQGCk752,0E1B
baseball uniform,,,Green,No,1760,440.0,51,Green,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,4,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLBaseball2,202,11107,RPu7p2wCQzzJsoZ9F,2B63
baseball uniform,,,Navy blue,No,1760,440.0,51,Blue,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,5,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLBaseball1,202,11106,CziYkwQpHnwwgwmsF,2B62
bath-towel wrap,,,White,No,630,157.0,51,White,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Simple,comfy,1,Yes,Box,N,For sale,1.0.0,Yes,TopsTexOnepieceBoxNBathtowel1,325,7811,JS6Z64sHXkWgXYWvE,1E83
bath-towel wrap,,,Black,No,630,157.0,51,Black,Black,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Simple,comfy,2,Yes,Box,N,For sale,1.0.0,Yes,TopsTexOnepieceBoxNBathtowel5,325,7815,FAb5AGmEnEdCqCp4F,1E87
bath-towel wrap,,,Pink,No,630,157.0,51,Pink,Pink,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Simple,comfy,3,Yes,Box,N,For sale,1.0.0,Yes,TopsTexOnepieceBoxNBathtowel0,325,4361,maeBfSoK7TC9hgFNX,1109
bath-towel wrap,,,Green,No,630,157.0,51,Green,Green,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Simple,comfy,4,Yes,Box,N,For sale,1.0.0,Yes,TopsTexOnepieceBoxNBathtowel3,325,7813,4CLJ5docy9jtzAG4z,1E85
bath-towel wrap,,,Blue,No,630,157.0,51,Aqua,Aqua,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Simple,comfy,5,Yes,Box,N,For sale,1.0.0,Yes,TopsTexOnepieceBoxNBathtowel2,325,7812,cstqgzaWuqDB8ti93,1E84
bath-towel wrap,,,Purple,No,630,157.0,51,Purple,Purple,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Simple,comfy,6,Yes,Box,N,For sale,1.0.0,Yes,TopsTexOnepieceBoxNBathtowel4,325,7814,cZrL49HyDM6tjieuB,1E86
bath-towel wrap,,,Brown,No,630,157.0,51,Brown,Brown,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Simple,comfy,7,Yes,Box,N,For sale,1.0.0,Yes,TopsTexOnepieceBoxNBathtowel6,325,7816,BQj2oNwq8HYhtenp8,1E88
bathrobe,,,White,No,720,180.0,51,White,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Elegant,comfy,1,Yes,Box,L,For sale,1.0.0,Yes,TopsTexOnepieceBoxLBathrobes0,65,3165,nW28CtMTSt7iNNEQZ,0C5D
bathrobe,,,Black,No,720,180.0,51,Black,Black,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Elegant,comfy,2,Yes,Box,L,For sale,1.0.0,Yes,TopsTexOnepieceBoxLBathrobes5,65,7821,Hpg2duFhoHoKHDrqj,1E8D
bathrobe,,,Pink,No,720,180.0,51,Pink,Pink,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Elegant,comfy,3,Yes,Box,L,For sale,1.0.0,Yes,TopsTexOnepieceBoxLBathrobes1,65,7817,WF5NasbTTRETdwzHn,1E89
bathrobe,,,Green,No,720,180.0,51,Green,Green,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Elegant,comfy,4,Yes,Box,L,For sale,1.0.0,Yes,TopsTexOnepieceBoxLBathrobes3,65,7819,gjHaiKH55sce26ZSY,1E8B
