Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID,Internal ID as hex
boa shorts,,,Black,No,1200,300,51,Black,Black,1x1,1100.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Active,Simple,everyday; outdoorsy,1,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa7,734,9120,3Z3cYyfhRkhmDKKKP,23A0
boa shorts,,,Red,No,1200,300,51,Red,Black,1x1,1100.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Active,Simple,everyday; outdoorsy,2,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa4,734,9117,Ydd3mZGaYrNupaAop,239D
boa shorts,,,Orange,No,1200,300,51,Orange,Black,1x1,1100.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,Winter,Free,Active,Simple,everyday; outdoorsy,3,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa5,734,9118,nmpe6DS922LwufDP5,239E
boa shorts,,,Avocado,No,1200,300,51,Green,Black,1x1,1100.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Active,Simple,everyday; outdoorsy,4,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa1,734,9114,diDTCzmh2EfcQ8Est,239A
boa shorts,,,Peacock blue,No,1200,300,51,Aqua,Black,1x1,1100.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Active,Simple,everyday; outdoorsy,5,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa6,734,9119,y3bqMB4hjKdxHjeRQ,239F
boa shorts,,,Blue,No,1200,300,51,Blue,Black,1x1,1100.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Active,Simple,everyday; outdoorsy,6,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa3,734,9116,uNMeoCpWFsgQnhyGJ,239C
boa shorts,,,Purple,No,1200,300,51,Purple,Black,1x1,1100.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Active,Simple,everyday; outdoorsy,7,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa0,734,5419,hHHSAxKeTKy94FrLh,152B
boa shorts,,,Beige,No,1200,300,51,Beige,Black,1x1,1100.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Active,Simple,everyday; outdoorsy,8,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa2,734,9115,rxrscQDTFaB6T3CS3,239B
boa skirt,,,Red,No,1300,325,51,Red,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Womanly,Active,Simple,everyday; outdoorsy,1,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa3,733,9109,ef7PeMEWM8geRb2JX,2395
boa skirt,,,Yellow,No,1300,325,51,Yellow,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Womanly,Active,Simple,everyday; outdoorsy,2,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa4,733,9110,sBZFNvhEg4Bsi8WLM,2396
boa skirt,,,Green,No,1300,325,51,Green,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Womanly,Active,Simple,everyday; outdoorsy,3,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa0,733,5418,nFzxYepHxpSzdLHrw,152A
boa skirt,,,Light blue,No,1300,325,51,Aqua,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Womanly,Active,Simple,everyday; outdoorsy,4,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa5,733,9111,JzeKHWEDDS5k9KpBy,2397
boa skirt,,,Blue,No,1300,325,51,Blue,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Womanly,Active,Simple,everyday; outdoorsy,5,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa1,733,9107,MYjHWe4KXX2bDwP6k,2393
boa skirt,,,Purple,No,1300,325,51,Purple,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Womanly,Active,Simple,everyday; outdoorsy,6,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa2,733,9108,eSPxEhawpKLm2ceMk,2394
boa skirt,,,Brown,No,1300,325,51,Brown,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,Winter,Womanly,Active,Simple,everyday; outdoorsy,7,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa7,733,9113,uDTLrmXkDEqToQbJ3,2399
boa skirt,,,Beige,No,1300,325,51,Beige,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Womanly,Active,Simple,everyday; outdoorsy,8,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa6,733,9112,GtiB2HMiy56rLvCYA,2398
bomber-style skirt,,,Black,No,1320,330,51,Black,Black,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Womanly,Cool,Cool,everyday; outdoorsy,1,No,For sale,1.0.0,Yes,BottomsTexSkirtLongMaone1,851,11663,Bp7H3PBvjLpJycCqv,2D8F
bomber-style skirt,,,Avocado,No,1320,330,51,Green,Green,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Womanly,Cool,Cool,everyday; outdoorsy,2,No,For sale,1.0.0,Yes,BottomsTexSkirtLongMaone0,851,5722,jhqr7bGfmAXM6uK3x,165A
bomber-style skirt,,,Blue,No,1320,330,51,Blue,Blue,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Womanly,Cool,Cool,everyday; outdoorsy,3,No,For sale,1.0.0,Yes,BottomsTexSkirtLongMaone2,851,11664,EQerBX3MAFt27siGH,2D90
bomber-style skirt,,,Brown,No,1320,330,51,Brown,Brown,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Womanly,Cool,Cool,everyday; outdoorsy,4,No,For sale,1.0.0,Yes,BottomsTexSkirtLongMaone3,851,11665,xy5EjisA8WfpzSGcW,2D91
botanical shorts,,,White,No,700,175,51,White,Red,1x1,630.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Free,Cool,Gorgeous,comfy; vacation,1,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBotanical1,902,9193,iDnWPtRoBpziJEEwt,23E9
botanical shorts,,,Black,No,700,175,51,Black,Red,1x1,630.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Free,Cool,Gorgeous,comfy; vacation,2,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBotanical0,902,5854,kFwQPwqhakmXTPHC2,16DE
box-pleated skirt,,,Red,No,1320,330,51,Red,Red,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Womanly,Simple,Active,everyday; vacation,1,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoxpleats2,842,11787,KxYmNHwegBmRL9uxJ,2E0B
box-pleated skirt,,,Green,No,1320,330,51,Green,Green,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Womanly,Simple,Active,everyday; vacation,2,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoxpleats3,842,11788,LrqFHr8zsLgjDoBtZ,2E0C
box-pleated skirt,,,Light blue,No,1320,330,51,Aqua,Aqua,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Womanly,Simple,Active,everyday; vacation,3,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoxpleats0,842,5703,Rwte5DmWEbaQdQgqu,1647
box-pleated skirt,,,Beige,No,1320,330,51,Beige,Beige,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Womanly,Simple,Active,everyday; vacation,4,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoxpleats1,842,11786,MXmzA39FLKtQzzCpv,2E0A
buttoned lace skirt,,,White,No,1200,300,51,White,White,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,Summer,Womanly,Simple,Simple,everyday; fairy tale; comfy; vacation,1,No,For sale,1.0.0,Yes,BottomsTexSkirtLongLace1,736,8727,hYFNGFXqrvmujTJJm,2217
buttoned lace skirt,,,Pink,No,1200,300,51,Pink,Pink,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Womanly,Simple,Simple,everyday; fairy tale; comfy; vacation,2,No,For sale,1.0.0,Yes,BottomsTexSkirtLongLace2,736,8728,sJnpKrkWcAxGxoaix,2218
buttoned lace skirt,,,Yellow,No,1200,300,51,Yellow,Yellow,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Womanly,Simple,Simple,everyday; fairy tale; comfy; vacation,3,No,For sale,1.0.0,Yes,BottomsTexSkirtLongLace0,736,5421,n4JbiQzu22rdtdy9a,152D
buttoned lace skirt,,,Green,No,1200,300,51,Green,Green,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Womanly,Simple,Simple,everyday; fairy tale; comfy; vacation,4,No,For sale,1.0.0,Yes,BottomsTexSkirtLongLace3,736,8729,MYzQEa7dvMqmrWLN7,2219
buttoned lace skirt,,,Purple,No,1200,300,51,Purple,Purple,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Womanly,Simple,Simple,everyday; fairy tale; comfy; vacation,5,No,For sale,1.0.0,Yes,BottomsTexSkirtLongLace4,736,8730,tkit3npe9HwdDufJQ,221A
buttoned wraparound skirt,,,Gray,No,1820,455,51,Gray,Black,1x1,1600.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Winter,Summer,Womanly,Elegant,Simple,everyday; formal,1,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrapbicolor0,890,5816,MeqvzbNAieKTjMAgF,16B8
buttoned wraparound skirt,,,Pink,No,1820,455,51,Pink,Black,1x1,1600.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Winter,,Womanly,Elegant,Simple,everyday; formal,2,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrapbicolor3,890,8733,rEFFT7saJTdTb6kG8,221D
buttoned wraparound skirt,,,Orange,No,1820,455,51,Orange,Black,1x1,1600.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Winter,,Womanly,Elegant,Simple,everyday; formal,3,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrapbicolor2,890,8732,ypymB5aMKxZStb8ch,221C
buttoned wraparound skirt,,,Green,No,1820,455,51,Green,Black,1x1,1600.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Winter,,Womanly,Elegant,Simple,everyday; formal,4,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrapbicolor4,890,8734,JCkkAtMCEr6kaRwaH,221E
buttoned wraparound skirt,,,Blue,No,1820,455,51,Blue,Black,1x1,1600.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Winter,,Womanly,Elegant,Simple,everyday; formal,5,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrapbicolor1,890,8731,YYgfpmdbXNoCFzBmw,221B
buttoned wraparound skirt,,,Purple,No,1820,455,51,Purple,Black,1x1,1600.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Winter,,Womanly,Elegant,Simple,everyday; formal,6,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrapbicolor5,890,8735,BEqJbSTipj8WRGE55,221F
camo pants,,,Brown,No,1300,325,51,Brown,Beige,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Cool,Cool,everyday; outdoorsy,1,No,For sale,1.0.0,Yes,BottomsTexPantsNormalCamouflage0,145,3342,aNFpYieN49dxPKyYy,0D0E
camo pants,,,Gray,No,1300,325,51,Gray,Black,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,Summer,Free,Cool,Cool,everyday; outdoorsy,2,No,For sale,1.0.0,Yes,BottomsTexPantsNormalCamouflage4,145,10188,EAtqzquCLivjkZhWr,27CC
camo pants,,,Red,No,1300,325,51,Red,Beige,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Cool,Cool,everyday; outdoorsy,3,No,For sale,1.0.0,Yes,BottomsTexPantsNormalCamouflage6,145,10190,5dYWfib2BWXgC3Rc4,27CE
camo pants,,,Pink,No,1300,325,51,Pink,Brown,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Cool,Cool,everyday; outdoorsy,4,No,For sale,1.0.0,Yes,BottomsTexPantsNormalCamouflage2,145,10186,nXT2XiJEx3CHegAip,27CA
camo pants,,,Avocado,No,1300,325,51,Green,Beige,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Cool,Cool,everyday; outdoorsy,5,No,For sale,1.0.0,Yes,BottomsTexPantsNormalCamouflage1,145,10185,qtsT4H3FaWL6rb8Pp,27C9
camo pants,,,Blue,No,1300,325,51,Blue,Aqua,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Cool,Cool,everyday; outdoorsy,6,No,For sale,1.0.0,Yes,BottomsTexPantsNormalCamouflage3,145,10187,26N6fryHPqE2DNxTR,27CB
camo pants,,,Purple,No,1300,325,51,Purple,Purple,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Cool,Cool,everyday; outdoorsy,7,No,For sale,1.0.0,Yes,BottomsTexPantsNormalCamouflage5,145,10189,H86rkRrvcpRorAzTf,27CD
camo skirt,,,Brown,No,1300,325,51,Brown,Beige,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Womanly,Cool,Cool,everyday; outdoorsy,1,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxCamo0,365,4434,q5c559aFcRKoBNr4w,1152
camo skirt,,,Gray,No,1300,325,51,Gray,Black,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Womanly,Cool,Cool,everyday; outdoorsy,2,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxCamo4,365,11325,tZTrTGhi5YdxdNi8f,2C3D
