Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Kit Type,Cyrus Customize Price,Stack Size,Buy,Sell,Source,Source Notes,Season/Event,Season/Event Exclusive,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID,Internal ID as hex,Variant Pattern Encoded
lattice fence,,Blue,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_3_0,3_0,11712,aWJZvPEGR8J2QumhB,2DC0,"(3, 0)"
lattice fence,,Pink,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_4_0,4_0,11712,NobD4hcBxcfJmQzJp,2DC0,"(4, 0)"
lattice fence,,Light blue,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_5_0,5_0,11712,3E8SKqfFCTxB8re3S,2DC0,"(5, 0)"
lattice fence,,Yellow,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_6_0,6_0,11712,Fx3c7yFA8eKfc2BGv,2DC0,"(6, 0)"
lattice fence,,Purple,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_7_0,7_0,11712,eNw32m5GGSnw6dGYd,2DC0,"(7, 0)"
log fence,,,,Yes,No,,,,50,NFS,72,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceHorizontalLog,,4351,ifuDMxChXr5ZiHGsg,10FF,
log-wall fence,,,,Yes,No,,,,50,NFS,120,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceLogWall,,5210,SZM2JpYHZwyL58kmw,145A,
mermaid fence,,,,Yes,No,,,,50,NFS,1310,Crafting,,,,Not for sale,1.7.0,Yes,ItemFenceMermaid,,14278,ckHANkPvuKPj7P59Z,37C6,
park fence,,Blue,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,375,Crafting,,,,Not for sale,2.0.0,Yes,ItemFencePark_Remake_0_0,0_0,14759,mutLvn796ZQBRoLhP,39A7,"(0, 0)"
park fence,,Red,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,375,Crafting,,,,Not for sale,2.0.0,Yes,ItemFencePark_Remake_1_0,1_0,14759,LjnqtWXGrmPP5hkRP,39A7,"(1, 0)"
park fence,,Yellow,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,375,Crafting,,,,Not for sale,2.0.0,Yes,ItemFencePark_Remake_2_0,2_0,14759,mGDZJnNrDz73RDXaJ,39A7,"(2, 0)"
park fence,,Lime,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,375,Crafting,,,,Not for sale,2.0.0,Yes,ItemFencePark_Remake_3_0,3_0,14759,vkQbtQ69HGj9HWHBQ,39A7,"(3, 0)"
park fence,,Pink,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,375,Crafting,,,,Not for sale,2.0.0,Yes,ItemFencePark_Remake_4_0,4_0,14759,p7G4i7W7KQNKDXLHE,39A7,"(4, 0)"
park fence,,Red & yellow,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,375,Crafting,,,,Not for sale,2.0.0,Yes,ItemFencePark_Remake_5_0,5_0,14759,JMxdd29T9qjbGwxKA,39A7,"(5, 0)"
park fence,,Pink & blue,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,375,Crafting,,,,Not for sale,2.0.0,Yes,ItemFencePark_Remake_6_0,6_0,14759,ELM8MNypnp77LoW9D,39A7,"(6, 0)"
park fence,,Orange & green,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,375,Crafting,,,,Not for sale,2.0.0,Yes,ItemFencePark_Remake_7_0,7_0,14759,7ycs8DgQMnXZ8rafq,39A7,"(7, 0)"
rope fence,,,,Yes,No,,,,50,NFS,300,Crafting,,,,Not for sale,1.0.0,Yes,ItemFencePegRope,,4352,TpruAQnqeeYcDxPRj,1100,
simple wooden fence,,Natural,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,72,Crafting; Tom Nook,50 fences are given by Tom Nook after completing the three house plots during the main storyline,,,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_0_0,0_0,11711,bxF62vutvYBw9BTDT,2DBF,"(0, 0)"
simple wooden fence,,White,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,72,Crafting; Tom Nook,,,,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_1_0,1_0,11711,Kkmjn6BrdDfPz48e2,2DBF,"(1, 0)"
simple wooden fence,,Brown,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,72,Crafting; Tom Nook,,,,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_2_0,2_0,11711,tcxM3mJLsQD7YxEs8,2DBF,"(2, 0)"
simple wooden fence,,Black,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,72,Crafting; Tom Nook,,,,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_3_0,3_0,11711,vzoHZ9cnv4dipBnfh,2DBF,"(3, 0)"
simple wooden fence,,Green,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,72,Crafting; Tom Nook,,,,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_4_0,4_0,11711,MC7D4yBEzoS6eLtkD,2DBF,"(4, 0)"
simple wooden fence,,Blue,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,72,Crafting; Tom Nook,,,,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_5_0,5_0,11711,7FynyLiyuGG9KjNdE,2DBF,"(5, 0)"
simple wooden fence,,Pink,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,72,Crafting; Tom Nook,,,,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_6_0,6_0,11711,R7WyXriMCZxSWL8EE,2DBF,"(6, 0)"
simple wooden fence,,Purple,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,72,Crafting; Tom Nook,,,,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_7_0,7_0,11711,X7ogyM8rtkLRuyjNk,2DBF,"(7, 0)"
spiky fence,,,,Yes,No,,,,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceSharply,,4358,gYccyRpBzpFCLLW56,1106,
spooky fence,,,,Yes,No,,,,50,NFS,585,Crafting,,Halloween (days before); Halloween,Yes,Not for sale,1.5.0,Yes,ItemFenceHalloween,,13275,yHsjxz9cexo9WbDaK,33DB,
stone fence,,,,Yes,No,,,,50,NFS,60,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceStone,,5212,ECNmTH3oh3SEDpHCr,145C,
straw fence,,,,Yes,No,,,,50,NFS,56,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceDriedStraw,,4356,yp69uEZTdfS9CkisA,1104,
vertical-board fence,,Natural,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_0_0,0_0,3402,M9pkSgdAaKgQELi3E,0D4A,"(0, 0)"
vertical-board fence,,White,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_1_0,1_0,3402,XTLNrFZzoDh9cD8Kt,0D4A,"(1, 0)"
vertical-board fence,,Black,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_2_0,2_0,3402,jTyiwMsmkaXCF7hLv,0D4A,"(2, 0)"
vertical-board fence,,Green,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_3_0,3_0,3402,ecorj47DZedoZrbgW,0D4A,"(3, 0)"
vertical-board fence,,Blue,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_4_0,4_0,3402,oDZA3KWp6jcJLhrkv,0D4A,"(4, 0)"
vertical-board fence,,Pink,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_5_0,5_0,3402,T7ajqp3deFgf85jhn,0D4A,"(5, 0)"
vertical-board fence,,Yellow,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_6_0,6_0,3402,EQeAKGbyKn8jNa89H,0D4A,"(6, 0)"
vertical-board fence,,Purple,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_7_0,7_0,3402,XB3YvXoDxSTyrZeMF,0D4A,"(7, 0)"
wedding fence,,White,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_0_0,0_0,12894,68uMh2zjCmeJukYhv,325E,"(0, 0)"
wedding fence,,Pink,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_1_0,1_0,12894,wqLxxBmRBhAqz2ePq,325E,"(1, 0)"
wedding fence,,Mint,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_2_0,2_0,12894,A2HQdKp9W2soyevwG,325E,"(2, 0)"
wedding fence,,Red,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_3_0,3_0,12894,jcQp3WdFzGCsBS2CC,325E,"(3, 0)"
wedding fence,,Light blue,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_4_0,4_0,12894,Aaza388Cq4fuwp4fX,325E,"(4, 0)"
wedding fence,,Yellow,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_5_0,5_0,12894,pat3RZ9KXysyjTcaL,325E,"(5, 0)"
wedding fence,,Purple,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_6_0,6_0,12894,WMFk74bGc4zv3Lwbu,325E,"(6, 0)"
wedding fence,,Black,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_7_0,7_0,12894,87n6rkrTzLCKvZtRv,325E,"(7, 0)"
zen fence,,Black,Roof-tile color,Yes,Yes,1.0,Normal,1000.0,50,NFS,330,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceJapanese_Remake_0_0,0_0,5207,yZeqREzefxeSiLAaP,1457,"(0, 0)"
zen fence,,Blue,Roof-tile color,Yes,Yes,1.0,Normal,1000.0,50,NFS,330,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceJapanese_Remake_1_0,1_0,5207,DQ98iB35ebBfeZkHQ,1457,"(1, 0)"
zen fence,,Red,Roof-tile color,Yes,Yes,1.0,Normal,1000.0,50,NFS,330,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceJapanese_Remake_2_0,2_0,5207,GjeRZJsbCypReqNZd,1457,"(2, 0)"
zen fence,,Orange,Roof-tile color,Yes,Yes,1.0,Normal,1000.0,50,NFS,330,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceJapanese_Remake_3_0,3_0,5207,uN494SE8F6RfYDghH,1457,"(3, 0)"
zen fence,,Yellow,Roof-tile color,Yes,Yes,1.0,Normal,1000.0,50,NFS,330,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceJapanese_Remake_4_0,4_0,5207,gAQntfadE2fF3yS8B,1457,"(4, 0)"
zen fence,,Beige,Roof-tile color,Yes,Yes,1.0,Normal,1000.0,50,NFS,330,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceJapanese_Remake_5_0,5_0,5207,Puf3HzPMpWFCNxfog,1457,"(5, 0)"
zen fence,,Green,Roof-tile color,Yes,Yes,1.0,Normal,1000.0,50,NFS,330,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceJapanese_Remake_6_0,6_0,5207,fJcjXSN2Emf86qRCc,1457,"(6, 0)"
zen fence,,Purple,Roof-tile color,Yes,Yes,1.0,Normal,1000.0,50,NFS,330,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceJapanese_Remake_7_0,7_0,5207,w6mfAirx3RowXsYp5,1457,"(7, 0)"
