Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID,Internal ID as hex
apron,,,Purple,No,840,210.0,51,Purple,White,1x1,760.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Active,everyday; work,7,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron5,87,9599,GRb6jZGaZzWdsmYuj,257F
apron,,,Brown,No,840,210.0,51,Brown,White,1x1,760.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Active,everyday; work,8,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron7,87,9601,wu2TYq7RGJWFEugZs,2581
Aran-knit cardigan,,,Pink,No,1300,325.0,51,Pink,Pink,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,,Free,Free,Simple,Elegant,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan2,212,7679,mJtGnjdLxpmdakhxo,1DFF
Aran-knit cardigan,,,Yellow,No,1300,325.0,51,Yellow,Yellow,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,,Free,Free,Simple,Elegant,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan3,212,7680,7nmckbhG5uG3JQxPz,1E00
Aran-knit cardigan,,,Light blue,No,1300,325.0,51,Aqua,Aqua,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,,Free,Free,Simple,Elegant,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan1,212,7678,MzK6AWudRCPLEdSPi,1DFE
Aran-knit cardigan,,,Beige,No,1300,325.0,51,Beige,Beige,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,,Free,Free,Simple,Elegant,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan0,212,3643,fJR97K7r3qHAB2TLr,0E3B
Aran-knit sweater,,,White,No,1200,300.0,51,White,White,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Simple,Elegant,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran1,209,7672,r9fBZ2q6e4neh4vxK,1DF8
Aran-knit sweater,,,Gray,No,1200,300.0,51,Gray,Gray,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Simple,Elegant,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran2,209,7673,GDMzeQoGkah87ocD7,1DF9
Aran-knit sweater,,,Black,No,1200,300.0,51,Black,Black,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Simple,Elegant,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran4,209,7675,nDgu8apAqxvPpaYaa,1DFB
Aran-knit sweater,,,Red,No,1200,300.0,51,Red,Red,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Simple,Elegant,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran0,209,3633,Bk2v8mfDeJJX3khg6,0E31
Aran-knit sweater,,,Orange,No,1200,300.0,51,Orange,Orange,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Simple,Elegant,everyday; comfy,5,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran5,209,7676,yWjKAXMSpvrdPQ96S,1DFC
Aran-knit sweater,,,Green,No,1200,300.0,51,Green,Green,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Simple,Elegant,everyday; comfy,6,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran3,209,7674,twRmAecxYcKDTriJu,1DFA
Aran-knit sweater,,,Blue,No,1200,300.0,51,Blue,Blue,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Simple,Elegant,everyday; comfy,7,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran6,209,7677,csp3scivRcpNKguZd,1DFD
argyle sweater,,,White,No,1200,300.0,51,White,Green,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,Winter,Free,Free,Simple,Elegant,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle7,195,7748,22jF8CGD8WXrECzwD,1E44
argyle sweater,,,Gray,No,1200,300.0,51,Gray,Purple,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,,Free,Free,Simple,Elegant,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle1,195,7742,asRCNMsvrCGPew8ao,1E3E
argyle sweater,,,Black,No,1200,300.0,51,Black,Blue,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,,Free,Free,Simple,Elegant,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle3,195,7744,5nftKFQRatJC7xgjB,1E40
argyle sweater,,,Red,No,1200,300.0,51,Red,Gray,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,,Free,Free,Simple,Elegant,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle4,195,7745,nRyNWtuy5uhdJWfQg,1E41
argyle sweater,,,Pink,No,1200,300.0,51,Pink,Orange,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,,Free,Free,Simple,Elegant,everyday; comfy,5,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle6,195,7747,wcs4qoRrafHXt9EKj,1E43
argyle sweater,,,Mustard,No,1200,300.0,51,Yellow,White,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,,Free,Free,Simple,Elegant,everyday; comfy,6,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle2,195,7743,YnhhYiacfsWJcPCpe,1E3F
argyle sweater,,,Green,No,1200,300.0,51,Green,Red,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,,Free,Free,Simple,Elegant,everyday; comfy,7,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle0,195,3579,xEqYEzdaBXvj9s346,0DFB
argyle sweater,,,Purple,No,1200,300.0,51,Purple,White,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,,Free,Free,Simple,Elegant,everyday; comfy,8,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle5,195,7746,f5YsDGb6KcjJHHDvj,1E42
argyle vest,,,Gray,No,1440,360.0,51,Gray,White,1x1,1300.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,,Free,Free,Simple,Elegant,everyday; formal; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle4,106,8483,akqeXj6PYe8Bj4aYY,2123
argyle vest,,,Red,No,1440,360.0,51,Red,White,1x1,1300.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,,Free,Free,Simple,Elegant,everyday; formal; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle3,106,8482,SMfqtZmDWDAZPEGvM,2122
argyle vest,,,Pink,No,1440,360.0,51,Pink,White,1x1,1300.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,,Free,Free,Simple,Elegant,everyday; formal; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle1,106,8480,3gRjPwykkZqE2f3tp,2120
argyle vest,,,Green,No,1440,360.0,51,Green,White,1x1,1300.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,,Free,Free,Simple,Elegant,everyday; formal; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle5,106,8484,LsiMSCR4tDsnLMF7K,2124
argyle vest,,,Blue,No,1440,360.0,51,Blue,Aqua,1x1,1300.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,,Free,Free,Simple,Elegant,everyday; formal; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle0,106,3262,QfjxZgK6b3zp2hr7T,0CBE
argyle vest,,,Brown,No,1440,360.0,51,Brown,White,1x1,1300.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,,Free,Free,Simple,Elegant,everyday; formal; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle2,106,8481,o9fJxQLHiEstT9dtt,2121
athletic jacket,,,Black,No,960,240.0,51,Black,White,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; comfy; sporty,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey2,93,7199,QhC4BYigzMiswiDSn,1C1F
athletic jacket,,,Berry red,No,960,240.0,51,Red,White,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; comfy; sporty,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey4,93,7201,YfNJuXFSjQuTwuETC,1C21
athletic jacket,,,Red,No,960,240.0,51,Red,White,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; comfy; sporty,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey0,93,3244,zgcZP2SW38SpysHJA,0CAC
athletic jacket,,,Green,No,960,240.0,51,Green,White,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; comfy; sporty,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey1,93,7198,PzvRHyyS9mQYtTFgw,1C1E
athletic jacket,,,Blue,No,960,240.0,51,Blue,White,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; comfy; sporty,5,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey3,93,7200,3zz3YpwYWcYJifHkC,1C20
athletic jacket,,,Navy blue,No,960,240.0,51,Blue,White,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; comfy; sporty,6,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey5,93,7202,ZYQDPwif9z8YR4Wpr,1C22
baggy shirt,,,Gray,No,NFS,10.0,53,Gray,Gray,1x1,,,Recycle box,,,,All Year,All Year,,Free,Free,Simple,Simple,goth; comfy,1,Yes,Not for sale,1.0.0,Yes,TopsTexTopTshirtsLLoose0,513,4710,LCtayENx9EyLYa4Za,1266
baggy shirt,,,Black,No,NFS,10.0,53,Black,Black,1x1,,,Recycle box,,,,All Year,All Year,,Free,Free,Simple,Simple,goth; comfy,2,Yes,Not for sale,1.0.0,Yes,TopsTexTopTshirtsLLoose1,513,8554,7ffsMJC98YG5kro2L,216A
baggy shirt,,,Brown,No,NFS,10.0,53,Brown,Brown,1x1,,,Recycle box,,,,All Year,All Year,,Free,Free,Simple,Simple,goth; comfy,3,Yes,Not for sale,1.0.0,Yes,TopsTexTopTshirtsLLoose2,513,8555,zKcqFuTkyBr7coxfb,216B
barista uniform,,,Black,No,1600,400.0,51,Black,White,1x1,1400.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Cool,Simple,everyday; work,1,Yes,For sale,2.0.0,Yes,TopsTexTopCoatLCafecool0,1445,14752,gA8WSGTYozcJafmy7,39A0
barista uniform,,,Brown,No,1600,400.0,51,Red,White,1x1,1400.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Cool,Simple,everyday; work,2,Yes,For sale,2.0.0,Yes,TopsTexTopCoatLCafecool1,1445,14950,TnxuFuRHZ75rvKKL2,3A66
barista uniform,,,Green,No,1600,400.0,51,Green,White,1x1,1400.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Cool,Simple,everyday; work,3,Yes,For sale,2.0.0,Yes,TopsTexTopCoatLCafecool2,1445,14951,iMtXGDLSCnYdzG5kq,3A67
barista uniform,,,Chestnut,No,1600,400.0,51,Beige,White,1x1,1400.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Cool,Simple,everyday; work,4,Yes,For sale,2.0.0,Yes,TopsTexTopCoatLCafecool3,1445,14952,fKYEur3gLTFkijx9a,3A68
baseball shirt,,,White,No,1120,280.0,51,White,Red,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Summer,,Free,Free,Active,Simple,sporty; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball4,352,9396,hSnStWauqiSxbZNXX,24B4
baseball shirt,,,Gray,No,1120,280.0,51,Gray,Blue,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Summer,,Free,Free,Active,Simple,sporty; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball2,352,9394,fqjd2QBaMZMbwDEhL,24B2
baseball shirt,,,Black,No,1120,280.0,51,Black,White,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Summer,,Free,Free,Active,Simple,sporty; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball3,352,9395,htYo33ejttt75X4mk,24B3
baseball shirt,,,Red,No,1120,280.0,51,Red,Black,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Summer,,Free,Free,Active,Simple,sporty; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball1,352,9393,kA8dp8bAq7K4sFtCm,24B1
baseball shirt,,,Yellow,No,1120,280.0,51,Yellow,Black,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Summer,,Free,Free,Active,Simple,sporty; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball5,352,9397,r5Xs4qK8wvp6fymea,24B5
baseball shirt,,,Navy blue,No,1120,280.0,51,Blue,White,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Summer,,Free,Free,Active,Simple,sporty; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball0,352,4419,vYCgqwhsoMRcDJfF3,1143
basketball tank,,,Black,No,1120,280.0,51,Black,Red,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts7,33,8044,9x9KAwjxXjS5iLkEM,1F6C
basketball tank,,,Red,No,1120,280.0,51,Red,Black,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts1,33,8038,uoMWejnjaZ6AyHNQt,1F66
basketball tank,,,Orange,No,1120,280.0,51,Orange,Blue,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts3,33,8040,vvNhYDS8JMeaS6ixD,1F68
basketball tank,,,Yellow,No,1120,280.0,51,Yellow,Green,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts5,33,8042,Qp3ibpyH77Cue45i3,1F6A
basketball tank,,,Green,No,1120,280.0,51,Green,Orange,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts2,33,8039,k2LnL52SusAtRrHmq,1F67
basketball tank,,,Light blue,No,1120,280.0,51,Aqua,Blue,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts6,33,8043,3Zq39RDqBexmDhnbQ,1F6B
basketball tank,,,Blue,No,1120,280.0,51,Blue,Red,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,7,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts4,33,8041,cParkHGdWthejc4wo,1F69
basketball tank,,,Purple,No,1120,280.0,51,Purple,Yellow,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,sporty; work,8,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts0,33,2727,dKYrtNZerQWq6Gt7W,0AA7
bear tee,,,,No,800,200.0,51,Green,Brown,1x1,720.0,Poki,Nook Shopping Daily Selection,,,,All Year,Summer,,Free,Free,Active,Cute,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBear0,1025,8196,6smBqDtdwrcsSvnSD,2004
