Name,Image,High-Res Texture,Genuine,Category,Buy,Sell,Color 1,Color 2,Size,Real Artwork Title,Artist,Description,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID,Internal ID as hex
calm painting,,,Yes,Wall-mounted,4980,1245.0,Green,Gray,2x1.5,A Sunday Afternoon on the Island of La Grande Jatte,"Georges Seurat, circa 1885, Oil on canvas","Seurat, known as the founder of neo-impressionism, invented the use of brightly colored dots. His method, which does not involve mixing pigments, took time. This piece, for instance, took two years. It shows a crowd enjoying a day off at the river Seine in France.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtSundayOn,78,7QgYY7KuhauCnS37H,004E
common painting,,,Yes,Wall-mounted,4980,1245.0,Beige,White,1x1,The Gleaners,"Jean-François Millet, 1857, Oil on canvas","The signature piece from Millet, who was known for depicting the lives of commoners in the 19th century. Notice the abundant crops visible in the background relative to the meager wheat remaining for workers. This art served as social commentary in a time of great inequality.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtGleaners,44,GE6sppzKjqkG7sRoz,002C
detailed painting,,,Yes,Wall-mounted,4980,1245.0,Yellow,Green,1x2,Ajisai Sōkeizu,"Itō Jakuchū, 18th century, Dyed silk","A detailed, colorful, and dynamic piece by Itō Jakuchū, a successful Kyoto artist in the mid-Edo period. High-quality paints on silk help it maintain its brilliant color even now, 200 years after its creation.",Jolly Redd's Treasure Trawler,,451,expensive,harmonious,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtAjisaisoukeizu,12622,T2QA6mqARHfToTJpQ,314E
detailed painting,,,No,Wall-mounted,4980,,Yellow,Green,1x2,Ajisai Sōkeizu,"Itō Jakuchū, 18th century, Dyed silk","A detailed, colorful, and dynamic piece by Itō Jakuchū, a successful Kyoto artist in the mid-Edo period. High-quality paints on silk help it maintain its brilliant color even now, 200 years after its creation.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtAjisaisoukeizuFake,12623,m9TkAsJFFkpQ9Hr4s,314F
dynamic painting,,,Yes,Wall-mounted,4980,1245.0,Beige,Beige,1x1,Thirty-Six Views of Mount Fuji The Great Wave off Kanagawa,"Katsushika Hokusai, circa 1831, Woodblock print","The signature piece of ukiyo-e artist Katsushika Hokusai, painted as part of a series when he was in his 60s. Although it is dubbed ""Thirty-Six Views,"" he eventually added 10 more to make 46 in total.",Jolly Redd's Treasure Trawler,,451,expensive,harmonious,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtKanagawaOki,38,BMBiEvuooPCwpzHj7,0026
familiar statue,,,Yes,Housewares,4980,1245.0,Green,Green,1x1,The Thinker,"Auguste Rodin, 1902, Bronze","This bronze sculpture was crafted by the French sculptor Rodin, known as the father of modern sculpture. The incredibly famous original is located in France. The sculpture was casted over 20 times. As such, authentic pieces can be found all around the world.",Jolly Redd's Treasure Trawler,,451,European,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureThinker,12541,e45RimLWaxcoBYLNq,30FD
famous painting,,,Yes,Wall-mounted,4980,1245.0,Black,Beige,1x1,Mona Lisa,"Leonardo da Vinci, circa 1503, Oil on poplar","The world's most famous smile. It's said that da Vinci kept this painting for himself until the very end... Given its power to beguile visitors all these years later, it's easy to see why.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtMonaLisa,18,23b6Mtp42pbXaLiGj,0012
famous painting,,,No,Wall-mounted,4980,,Black,Beige,1x1,Mona Lisa,"Leonardo da Vinci, circa 1503, Oil on poplar","The world's most famous smile. It's said that da Vinci kept this painting for himself until the very end... Given its power to beguile visitors all these years later, it's easy to see why.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtMonaLisaFake,17,ppnz4rtJf2L6FK6YN,0011
flowery painting,,,Yes,Wall-mounted,4980,1245.0,Yellow,Brown,1x1,Sunflowers,"Vincent van Gogh, circa 1888, Oil on canvas","Van Gogh painted this piece when he moved to the south of France in search of more vibrant colors. Yellow was Van Gogh's favorite color, and he made seven paintings that featured sunflowers during this time.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtSunflower,50,aDZWPQ79YhLCMRqAE,0032
gallant statue,,,Yes,Housewares,4980,1245.0,White,White,2x2,David,"Michelangelo, circa 1504, Marble","Young David glares at his enemies, sling slung over his shoulder. It took Michelangelo more than three years to sculpt this piece. Close inspection shows heart-shaped eyes, but that's probably meant to depict light hitting them. Hearts didn't have the lovey-dovey symbolism back then that they do today.",Jolly Redd's Treasure Trawler,,451,European,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureDavid,1333,hNbaWeaJCdihGnHM9,0535
gallant statue,,,No,Housewares,4980,,White,White,2x2,David,"Michelangelo, circa 1504, Marble","Young David glares at his enemies, sling slung over his shoulder. It took Michelangelo more than three years to sculpt this piece. Close inspection shows heart-shaped eyes, but that's probably meant to depict light hitting them. Hearts didn't have the lovey-dovey symbolism back then that they do today.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureDavidFake,1334,aoJwhWz4TTkNHrgg4,0536
glowing painting,,,Yes,Wall-mounted,4980,1245.0,Blue,Gray,1x1,The Fighting Temeraire,"Joseph Mallord William Turner, 1839, Oil on canvas","A famous piece by Turner, a ""painter of light."" It shows an English Navy ship commanded by Admiral Nelson as it's being tugged toward its dismantling.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtFightingTemeraire,12624,89wbjB4u9oKjrKiZB,3150
graceful painting,,,Yes,Wall-mounted,4980,1245.0,Yellow,Red,1x2,Beauty Looking Back,"Hishikawa Moronobu, 17th century, Color on silk","A hand-painted piece by Hishikawa Moronobu, an artist known for popularizing the ukiyo-e style. This stirring painting depicts a fashionable woman glancing back over her shoulder.",Jolly Redd's Treasure Trawler,,451,expensive,harmonious,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtMikaeri,6,8M8N84TgtyATYSaPK,0006
graceful painting,,,No,Wall-mounted,4980,,Yellow,Red,1x2,Beauty Looking Back,"Hishikawa Moronobu, 17th century, Color on silk","A hand-painted piece by Hishikawa Moronobu, an artist known for popularizing the ukiyo-e style. This stirring painting depicts a fashionable woman glancing back over her shoulder.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtMikaeriFake,5,PJCq2YjGNkP3rLYAs,0005
great statue,,,Yes,Housewares,4980,1245.0,Black,Yellow,2x2,King Kamehameha I,"Thomas Ridgeway Gould, circa 1883, Bronze","A bronze sculpture of King Kamehameha I, who founded the Kingdom of Hawaii in 1810. Traditionally, the sculpture is draped with many leis every year on June 11th.",Jolly Redd's Treasure Trawler,,451,resort,city life,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureKamehameha,1339,AAE89LXrdnv7yxs7p,053B
informative statue,,,Yes,Housewares,4980,1245.0,Black,Black,1x1,Rosetta Stone,"Artist Unknown, 196 BCE, Granodiorite","A stone slab found in Rosetta, Egypt in 1799. Helped efforts to decipher ancient Egyptian hieroglyphs. Almost identical text is written in hieroglyphs at the top, then Demotic script, and lastly Greek script.",Jolly Redd's Treasure Trawler,,451,ancient,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureRosettaStone,12535,QW7tW8LLK5ReWvNeT,30F7
informative statue,,,No,Housewares,4980,,Blue,Blue,1x1,Rosetta Stone,"Artist Unknown, 196 BCE, Granodiorite","A stone slab found in Rosetta, Egypt in 1799. Helped efforts to decipher ancient Egyptian hieroglyphs. Almost identical text is written in hieroglyphs at the top, then Demotic script, and lastly Greek script.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureRosettaStoneFake,12536,qsBfFStS8mFJWotF3,30F8
jolly painting,,,Yes,Wall-mounted,4980,1245.0,Black,Yellow,1x1,Summer,"Giuseppe Arcimboldo, circa 1563, Oil on canvas","A curious portrait by Giuseppe Arcimboldo, an Italian painter from the late 16th century. It doesn't take a particularly sharp eye to see that the entire portrait is composed of fresh produce.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtSummer,42,JmuDLy5Gzy5L98TYi,002A
jolly painting,,,No,Wall-mounted,4980,,Black,Yellow,1x1,Summer,"Giuseppe Arcimboldo, circa 1563, Oil on canvas","A curious portrait by Giuseppe Arcimboldo, an Italian painter from the late 16th century. It doesn't take a particularly sharp eye to see that the entire portrait is composed of fresh produce.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtSummerFake,41,ndpzuYrx9RtgkuF4q,0029
moody painting,,,Yes,Wall-mounted,4980,1245.0,Black,Gray,1x1,The Sower,"Jean-François Millet, circa 1850, Oil on canvas","Millet painted this piece of a farmer sowing wheat seeds in a field after moving to the countryside from Paris. If the piece reminds you of Van Gogh, that's likely because Van Gogh himself was inspired by it!",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtSlower,52,BvTziFiDfmghDfn2f,0034
motherly statue,,,Yes,Housewares,4980,1245.0,Black,Gray,2x1,Capitoline Wolf,"Artist Unknown, 5th century BCE, Bronze","This wolf from Roman mythology raises a pair of twins, along with some controversy. The original bronze sculpture of the wolf is a masterpiece that dates back to 5th century BCE. The twins were added during the 15th century...or so it was thought. Recent research has given rise to speculation that the original piece may be from the 11th or 12th century. (We will, however, stick with the 5th century BCE estimate for now.)",Jolly Redd's Treasure Trawler,,451,ancient,European,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureCapitolini,1331,CzWpdw9fWH7CSqvD4,0533
motherly statue,,,No,Housewares,4980,,Black,Gray,2x1,Capitoline Wolf,"Artist Unknown, 5th century BCE, Bronze","This wolf from Roman mythology raises a pair of twins, along with some controversy. The original bronze sculpture of the wolf is a masterpiece that dates back to 5th century BCE. The twins were added during the 15th century...or so it was thought. Recent research has given rise to speculation that the original piece may be from the 11th or 12th century. (We will, however, stick with the 5th century BCE estimate for now.)",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureCapitoliniFake,1332,FQnkD6Ecica9g8hn6,0534
moving painting,,,Yes,Wall-mounted,4980,1245.0,Aqua,White,2x1.5,The Birth of Venus,"Sandro Botticelli, circa 1485, Tempera on canvas","A painting of the Roman goddess Venus riding a scallop shell after being born in the ocean. The name Botticelli is said to actually be a nickname given to the artist's brother, who was built like a barrel. Why this nickname was transferred between siblings is a mystery lost to the ages.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtBirthVenus,32,CbpBJoxScgd7YkJ2a,0020
moving painting,,,No,Wall-mounted,4980,,Aqua,White,2x1.5,The Birth of Venus,"Sandro Botticelli, circa 1485, Tempera on canvas","A painting of the Roman goddess Venus riding a scallop shell after being born in the ocean. The name Botticelli is said to actually be a nickname given to the artist's brother, who was built like a barrel. Why this nickname was transferred between siblings is a mystery lost to the ages.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtBirthVenusFake,31,8ji8jMXCQbeXcBZ4G,001F
mysterious painting,,,Yes,Wall-mounted,4980,1245.0,Black,Gray,2x1,Isle of the Dead,"Arnold Böcklin, 1883, Oil on wood","A small boat carrying a corpse glides quietly over a still sea to an island of graves surrounded by cliffs. The air of this piece by symbolist painter Böcklin is chilling, but also somehow calm. Böcklin worked here to capture not what he could see, but some of humanity's inner contemplations.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtIsleOfDead,12625,jyEqfpiQxoJr7dFim,3151
mystic statue,,,Yes,Miscellaneous,4980,1245.0,Beige,Black,1x1,Bust of Nefertiti,"Thutmose, circa 1345 BCE, Limestone","A bust of Nefertiti, whose name means ""the beautiful one has come."" A ""royal wife,"" she was known as one of the three most beautiful women in ancient Egypt. It is not known whether the left eye is missing because it fell out, or because it was never completed.",Jolly Redd's Treasure Trawler,,451,ancient,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureNefertiti,1343,m8rdQtfhuSxvLjbA7,053F
mystic statue,,,No,Miscellaneous,4980,,Beige,Black,1x1,Bust of Nefertiti,"Thutmose, circa 1345 BCE, Limestone","A bust of Nefertiti, whose name means ""the beautiful one has come."" A ""royal wife,"" she was known as one of the three most beautiful women in ancient Egypt. It is not known whether the left eye is missing because it fell out, or because it was never completed.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureNefertitiFake,1344,DPZFgiykKg576TMns,0540
nice painting,,,Yes,Wall-mounted,4980,1245.0,Gray,Red,1x2,The Fifer,"Édouard Manet, 1866, Oil on canvas","One of Manet's earlier works, this painting depicts a young flautist dressed in military uniform. Manet's works are notable for their lack of linear perspective and strong color contrast. These attributes led some to call him ""The Father of Impressionism"" and make comparisons to Vélazquez. Fun fact—flautists can determine what note the boy is playing just by studying the painting closely.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtFifePlayer,48,bE9epxYeiupMZXZBY,0030
perfect painting,,,Yes,Wall-mounted,4980,1245.0,Black,Gray,1x1,Apples and Oranges,"Paul Cézanne, circa 1899, Oil on canvas","This still life is known to have inspired the work of many other artists, including Pablo Picasso. Rather than trying to recreate an image, Cézanne captured the beauty of shapes from many angles. With this work, Cézanne draws on both the atmosphere of his subjects and the spirit of its beholders.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtAppleOrange,20,GrTJQRodgefZ3ndPz,0014
proper painting,,,Yes,Wall-mounted,4980,1245.0,Black,Gray,2x1,A Bar at the Folies-Bergère,"Édouard Manet, circa 1882, Oil on canvas","Close inspection of the mirror behind this painting's subject reveals many mysteries and paradoxes... In fact, the painting is based on multiple perspectives, which explains the unusual placement of some items. Sadly, this is Manet's last major work. He passed away a year after it was complete, at age 51.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtBarFB,46,5MYg559uG6YjFrJLu,002E
quaint painting,,,Yes,Wall-mounted,4980,1245.0,White,Gray,1x1,The Milkmaid,"Johannes Vermeer, circa 1658, Oil on canvas","This piece earned Vermeer the nickname ""Master of Light"" thanks to its exquisite contrast and depth. Vermeer painted this masterpiece at only 25 years of age. Many note that it is surprisingly small in real life.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtMilkmaid,10,4eD8bxvcsNdFuJZy3,000A
quaint painting,,,No,Wall-mounted,4980,,White,Gray,1x1,The Milkmaid,"Johannes Vermeer, circa 1658, Oil on canvas","This piece earned Vermeer the nickname ""Master of Light"" thanks to its exquisite contrast and depth. Vermeer painted this masterpiece at only 25 years of age. Many note that it is surprisingly small in real life.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtMilkmaidFake,9,A8oEDJdRDYCWWvgqP,0009
robust statue,,,Yes,Housewares,4980,1245.0,White,White,2x1,Discobolus,"Artist Unknown, 2nd century CE, Marble","This ancient Roman statue is based on the ancient Greek statue crafted by Myron. It's a piece that shows the grandeur of the human body, beautiful from any angle.",Jolly Redd's Treasure Trawler,,451,ancient,European,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureDiskobolos,1335,BMJTrZQQLrzhgFQ6T,0537
robust statue,,,No,Housewares,4980,,White,White,2x1,Discobolus,"Artist Unknown, 2nd century CE, Marble","This ancient Roman statue is based on the ancient Greek statue crafted by Myron. It's a piece that shows the grandeur of the human body, beautiful from any angle.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureDiskobolosFake,1336,JxRWC7dP3bSnrYafb,0538
rock-head statue,,,Yes,Housewares,4980,1245.0,Gray,Gray,2x2,Olmec Colossal Head,"Artist Unknown, circa 1000 BCE, Basalt, andesite","Giant stone head thought to be from the ancient Mesoamerican Olmec civilization. The larger ones can reach three meters in height. Scholars think they only crafted heads, no bodies.",Jolly Redd's Treasure Trawler,,451,ancient,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureOlmecaHead,12533,yuq7wqkBtYpTh9cQs,30F5
rock-head statue,,,No,Housewares,4980,,Gray,Gray,2x2,Olmec Colossal Head,"Artist Unknown, circa 1000 BCE, Basalt, andesite","Giant stone head thought to be from the ancient Mesoamerican Olmec civilization. The larger ones can reach three meters in height. Scholars think they only crafted heads, no bodies.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureOlmecaHeadFake,12534,vgYniErBETSwYurmo,30F6
scary painting,,,Yes,Wall-mounted,4980,1245.0,Gray,Gray,1x1,Ōtani Oniji the 3rd as Yakko Edobei,"Tōshūsai Sharaku, 1794, Woodblock print","A print from the mid-Edo period by Tōshūsai Sharaku depicting a famous actor of the time. Sharaku made roughly 140 ukiyo-e prints in his career, even though it only spanned around 10 months!",Jolly Redd's Treasure Trawler,,451,expensive,harmonious,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtOotaniOniji,66,mPutXzCMyFowYqPHu,0042
scary painting,,,No,Wall-mounted,4980,,Gray,Gray,1x1,Ōtani Oniji the 3rd as Yakko Edobei,"Tōshūsai Sharaku, 1794, Woodblock print","A print from the mid-Edo period by Tōshūsai Sharaku depicting a famous actor of the time. Sharaku made roughly 140 ukiyo-e prints in his career, even though it only spanned around 10 months!",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtOotaniOnijiFake,65,xfEX3LgBZxdy8cWnv,0041
scenic painting,,,Yes,Wall-mounted,4980,1245.0,White,Aqua,2x1.5,The Hunters in the Snow,"Pieter Brueghel the Elder, 1565, Oil on wood panel","A landscape artist from the late Renaissance period, Brueghel was known as the ""Peasant Artist."" He earned the title for depicting scenes from common peasant life, such as the moment captured here. Note the contrast between the weary hunters and the people frolicking below on icy ponds.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtHunterSnow,2,9zdd3tRyrgvHg7MHR,0002
scenic painting,,,No,Wall-mounted,4980,,White,Aqua,2x1.5,The Hunters in the Snow,"Pieter Brueghel the Elder, 1565, Oil on wood panel","A landscape artist from the late Renaissance period, Brueghel was known as the ""Peasant Artist."" He earned the title for depicting scenes from common peasant life, such as the moment captured here. Note the contrast between the weary hunters and the people frolicking below on icy ponds.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtHunterSnowFake,12629,xXvgi6GY62Kiy7ZPc,3155
serene painting,,,Yes,Wall-mounted,4980,1245.0,Black,Beige,1x1,Lady with an Ermine,"Leonardo da Vinci, circa 1490, Oil on wood panel","One of only four portraits of women painted by da Vinci, one of which is the ""Mona Lisa."" Some believe that the ""ermine"" is not actually an ermine, but rather a white ferret!",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtPortraitCecilia,24,xWDYCn59iCuXXFYCa,0018
serene painting,,,No,Wall-mounted,4980,,Black,Beige,1x1,Lady with an Ermine,"Leonardo da Vinci, circa 1490, Oil on wood panel","One of only four portraits of women painted by da Vinci, one of which is the ""Mona Lisa."" Some believe that the ""ermine"" is not actually an ermine, but rather a white ferret!",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtPortraitCeciliaFake,23,DAFG5byhuAns7SeNJ,0017
sinking painting,,,Yes,Wall-mounted,4980,1245.0,Green,White,1x1,Ophelia,"John Everett Millais, 1852, Oil on canvas","Ophelia is a tragic figure in the Shakespearean play ""Hamlet."" There is an otherworldly expression on her face as she lies unconscious in a river. She is surrounded by the beauty of nature as she floats between life and death.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtOphelia,12621,7ku7mD4CEkRPAfvgf,314D
solemn painting,,,Yes,Wall-mounted,4980,1245.0,Black,Beige,2x2,Las Meninas,"Diego Velázquez, circa 1656, Oil on canvas","This famous piece by Velázquez, who served the Spanish court, shows us something about perspective. It depicts a young princess with her ""ladies-in-waiting."" The artist himself is seen to the left. The king and queen are reflected in the mirror to the artist's right, so the perspective is that of the king. The king...watching the artist...paint the king and the queen...",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtLasMeninas,72,Rdxe9rejLcZB9FPPj,0048
