Name,Image,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID,Internal ID as hex
beige blossoming wall,,No,,No,1760,440,Beige,Brown,1600.0,Poki,Nook's Cranny,,,,Four Pane,Natural Wood,Glass,Curtains,Red Checkered,Wood,151,fancy,living room,,Country,For sale,1.0.0,Yes,RoomTexWallCountry00,4831,CF5325jZx7pNsqb6Z,12DF
beige Moroccan wall,,No,,No,2440,610,Beige,Beige,2200.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Stone,151,bathroom,public bath,Moroccan,Morocco,For sale,1.0.0,Yes,RoomTexWallMorocco00,4834,qZrgjoMjxz9ehXqa4,12E2
black botanical-tile wall,,No,,No,1240,310,Black,Black,1100.0,Poki,Nook's Cranny,,,,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Stone,151,facility,expensive,,Wood Tile Walls,For sale,1.0.0,Yes,RoomTexWallWoodTile03,6877,PEcX9J774Ffd6Gn8S,1ADD
black European-style wall,,Yes,,No,3000,750,Black,Aqua,,,Saharah's Co-op,,,,,,,,,Stone,451,European,restaurant,,Special Walls,Not for sale,2.0.0,Yes,RoomSpWallFrench01,13866,sQ5tk8wwoJhvHBj44,362A
black hallway wall,,No,,No,2000,500,Black,Black,1800.0,Poki,Nook's Cranny,,,,,,,,,Wood,151,facility,music,,Hall Walls,For sale,1.0.0,Yes,RoomTexWallHall03,6862,pQrYRHsmovBApejNJ,1ACE
black perforated-board wall,,No,,No,1180,295,Black,Black,1100.0,Poki,Nook's Cranny,,,,,,,,,Tile,151,music,facility,,Pegboard Walls,For sale,1.0.0,Yes,RoomTexWallPegboard02,4922,7fMiJATy4fWP4DpoC,133A
black two-toned tile wall,,No,,No,1850,462,Black,Black,1700.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Stone,151,bathroom,public bath,,Two-Tone Tile Walls,For sale,1.0.0,Yes,RoomTexWallTwoToneTile06,6859,aF8tqscwpShhhsASx,1ACB
black window-panel wall,,Yes,,No,2800,700,Black,Aqua,2500.0,Poki,Nook's Cranny,,,,,,,,,Stone,151,,,,Special Walls,For sale,2.0.0,Yes,RoomSpWallWindow01,13438,LXuaBG839ogDDzkPe,347E
black-brick wall,,No,,No,1000,250,Black,Black,900.0,Poki,Nook's Cranny,,,,Four Pane,Dark Wood,Glass,,,Wood,151,café,city life,,Brick,For sale,1.0.0,Yes,RoomTexWallBrick02,4929,tCex7y47sAsaD44Wm,1341
black-crown wall,,No,,No,2350,587,Black,Black,2100.0,Poki,Nook's Cranny,,,,,,,,,Tile,151,restaurant,facility,,Crown Walls,For sale,1.0.0,Yes,RoomTexWallCrown01,4815,4cCAvP8bbCYcyAyBE,12CF
blackboard wall,,No,,No,3000,750,Black,Colorful,,,Saharah; Saharah's Co-op,,,,,,,,,Wood,451,shop,school,,Neta Walls,Not for sale,1.0.0,Yes,RoomTexWallBlackBoard00,4882,Aseoowo4cuXJqyWaA,1312
blue blossoming wall,,No,,No,1760,440,Aqua,Blue,1600.0,Poki,Nook's Cranny,,,,Four Pane,Grey Wood,Glass,Curtains,Blue Checkered,Wood,151,fancy,living room,,Country,For sale,1.0.0,Yes,RoomTexWallCountry02,4896,SZWxorHWvT7vhGXsj,1320
blue camo wall,,No,,No,1150,287,Blue,Blue,1000.0,Poki,Nook's Cranny,,,,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,151,party,child's room,,Camouflage,For sale,1.0.0,Yes,RoomTexWallCamouflage01,4884,xQ2EDvGyh76skJyX3,1314
blue delicate-blooms wall,,No,,No,1900,475,Blue,Black,1700.0,Poki,Nook's Cranny,,,,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,151,expensive,living room,,Manor Walls,For sale,1.0.0,Yes,RoomTexWallManor03,6852,7Fb4nvMvoxtCZRQv7,1AC4
blue diner wall,,No,,No,2420,605,Blue,Aqua,2200.0,Poki,Nook's Cranny,,,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151,restaurant,café,diner,Diner Walls,For sale,1.0.0,Yes,RoomTexWallDiner00,7241,GjJT3k3neqwzenXku,1C49
blue flower-print wall,,No,,No,1780,445,Blue,Aqua,1600.0,Poki,Nook's Cranny,,,,Four Pane,Dark Wood,Glass,Curtains,Light Blue,Wood,151,fancy,living room,,Flower Walls,For sale,1.0.0,Yes,RoomTexWallFlower03,6873,Hfm5a2EozWyQws3Tv,1AD9
blue heart-pattern wall,,No,,No,1280,320,Blue,Aqua,1200.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,151,fancy,child's room,,Heart Walls,For sale,1.0.0,Yes,RoomTexWallHeart00,4874,9dXvZ4H39kton3Tcj,130A
blue honeycomb-tile wall,,No,,No,1680,420,Blue,Blue,1500.0,Poki,Nook's Cranny,,,,Sliding Pane,Black Metal,Glass,,,Stone,151,bathroom,public bath,,Honeycomb,For sale,1.0.0,Yes,RoomTexWallHoneycomb01,4912,Fht6yazsmMqdtEYQb,1330
blue intricate wall,,No,,No,1570,392,Blue,White,1400.0,Poki,Nook's Cranny,,,,Four Pane,Grey Wood,Glass,Roller Shades,White,Wood,151,living room,shop,,Flower Pop Walls,For sale,1.0.0,Yes,RoomTexWallFlowerPop00,4848,p65nAJPAzQRgrjmDk,12F0
blue molded-panel wall,,No,,No,1980,495,Blue,Brown,1800.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Cloth,151,facility,living room,,Panel Mold Walls,For sale,1.0.0,Yes,RoomTexWallPanelMold01,4871,NpLfp6Jj3N5SDZJGK,1307
blue Moroccan wall,,No,,No,2440,610,Blue,White,2200.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Stone,151,bathroom,public bath,Moroccan,Morocco,For sale,1.0.0,Yes,RoomTexWallMorocco01,4835,vgNuogZ2JG2eZEBni,12E3
blue Moroccan-style wall,,No,,No,3000,750,Blue,Blue,,,Saharah's Co-op,,,,,,,,,Stone,451,stylish,living room,,Asia,Not for sale,2.0.0,Yes,RoomTexWallTadelakt00,13487,stCTPTZtxH5iakJzd,34AF
blue painted-wood wall,,No,,No,1650,412,Blue,Aqua,1500.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,,,Wood,151,child's room,living room,,Painted Wood,For sale,1.0.0,Yes,RoomTexWallPaintWood00,4948,taLRgdodXzdzaAqA5,1354
blue playroom wall,,No,,No,2540,635,Aqua,Blue,2300.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Cloth,151,child's room,fancy,kids,Toy Walls,For sale,1.0.0,Yes,RoomTexWallToy00,4888,GFvGWj5w9m6i5eRwu,1318
blue quilt wall,,No,,No,2150,537,Blue,White,1900.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,151,fancy,child's room,,Dollhouse Walls,For sale,1.0.0,Yes,RoomTexWallDollhouse01,7277,PPTLt5GQAdAhgRkxx,1C6D
blue shanty wall,,No,,No,620,155,Blue,Blue,560.0,Poki,Nook's Cranny,,,,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Stone,151,workshop,construction site,,Tin Walls,For sale,1.0.0,Yes,RoomTexWallTin02,4925,izNEFpPcp7pZaokHC,133D
blue simple-cloth wall,,No,,No,750,187,Blue,Aqua,680.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Curtains,White,Wood,151,child's room,living room,simple,Simple Walls,For sale,1.0.0,Yes,RoomTexWallSimple03,4869,KEN3oXsCwXwBcrfyD,1305
blue subway-tile wall,,No,,No,1340,335,Blue,Aqua,1200.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Stone,151,facility,shop,,Metro Walls,For sale,1.0.0,Yes,RoomTexWallMetro00,4940,mJ2HZDvnKgWB4TfXD,134C
blue tile wall,,No,,No,1420,355,Blue,Blue,1300.0,Poki,Nook's Cranny,,,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151,bathroom,public bath,,Tile Walls,For sale,1.0.0,Yes,RoomTexWallTile03,7127,gFc6NFYEbm8AqnpNu,1BD7
blue two-toned tile wall,,No,,No,1850,462,Blue,Blue,1700.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Stone,151,bathroom,public bath,,Two-Tone Tile Walls,For sale,1.0.0,Yes,RoomTexWallTwoToneTile05,6858,97tHxtBzbMechYNAe,1ACA
blue-crown wall,,No,,No,2350,587,Blue,Black,2100.0,Poki,Nook's Cranny,,,,,,,,,Tile,151,restaurant,facility,,Crown Walls,For sale,1.0.0,Yes,RoomTexWallCrown00,4814,k3b6CntCn3X84TN8X,12CE
blue-paint wall,,No,,No,1600,400,Blue,Blue,1400.0,Poki,Nook's Cranny,,,,Four Pane,Dark Wood,Glass,,,Stone,151,fancy,living room,,Stucco Walls,For sale,1.0.0,Yes,RoomTexWallStucco03,4811,Pdr9WyCDQ9MBgG2qf,12CB
blue-rose wall,,No,,No,1720,430,Blue,Aqua,1500.0,Poki,Nook's Cranny,,,,Arch,Grey Metal,Glass,,,Wood,151,fancy,child's room,,Rose Walls,For sale,1.0.0,Yes,RoomTexWallRose03,6869,24hAjZQPsBXg3qHgw,1AD5
blue-striped wall,,No,,No,1520,380,Blue,White,1400.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,151,fancy,child's room,,Stripe Walls,For sale,1.0.0,Yes,RoomTexWallStripe03,4945,ZN2NXtCWSxQyeY9TF,1351
botanical-tile wall,,No,,No,1240,310,Beige,Yellow,1100.0,Poki,Nook's Cranny,,,,Single Pane,Natural Wood,Glass,Slatted Blinds,Natural Wood,Stone,151,facility,expensive,,Wood Tile Walls,For sale,1.0.0,Yes,RoomTexWallWoodTile02,6876,gAvEyZiovXdKht7Db,1ADC
brick garden wall,,Yes,Synchro,No,3000,750,Brown,Aqua,,,Saharah's Co-op,,,,,,,,,Plain,451,city life,amusement park,,Nature Walls,Not for sale,2.0.0,Yes,RoomSpWallSchoolyard00,12855,r6GkwPtTHqgKbKD8c,3237
brown botanical-tile wall,,No,,No,1240,310,Brown,Brown,1100.0,Poki,Nook's Cranny,,,,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Stone,151,facility,expensive,,Wood Tile Walls,For sale,1.0.0,Yes,RoomTexWallWoodTile01,4827,FBLdaz4BkJbYvtdhy,12DB
brown diner wall,,No,,No,2420,605,Brown,Colorful,2200.0,Poki,Nook's Cranny,,,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151,restaurant,café,diner,Diner Walls,For sale,1.0.0,Yes,RoomTexWallDiner03,7244,wtnNQikxNEJkL753p,1C4C
brown hallway wall,,No,,No,2000,500,Brown,Brown,1800.0,Poki,Nook's Cranny,,,,,,,,,Wood,151,facility,music,,Hall Walls,For sale,1.0.0,Yes,RoomTexWallHall00,4806,hFcaZ4n9ktaGNSTBE,12C6
brown herringbone wall,,No,,Yes,NFS,1800,Brown,Brown,,,Crafting,,,,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Wood,103,living room,stylish,,Herringbone,Not for sale,1.0.0,Yes,RoomTexWallHerringbone00,4804,oYALopoXWt2ZRT7Ej,12C4
brown shanty wall,,No,,No,620,155,Brown,Brown,560.0,Poki,Nook's Cranny,,,,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Stone,151,workshop,construction site,,Tin Walls,For sale,1.0.0,Yes,RoomTexWallTin03,4926,MHxmHT82gP3odiLwv,133E
brown wedding wall,,Yes,,No,NFS,750,Beige,Brown,12.0,Heart Crystals,Cyrus,,Wedding Season,Yes,,,,,,Stone,437,party,expensive,wedding,Cloth Walls,Not for sale,1.2.0,Yes,RoomSpWallChurch01,12468,micAswPDNsNS2A2mb,30B4
brown-brick wall,,No,,No,1000,250,Brown,Brown,900.0,Poki,Nook's Cranny,,,,Four Pane,Natural Wood,Glass,,,Wood,151,city life,amusement park,,Brick,For sale,1.0.0,Yes,RoomTexWallBrick03,6850,BE69b25WcF47xAqdG,1AC2
brown-crown wall,,No,,No,2350,587,Brown,Brown,2100.0,Poki,Nook's Cranny,,,,,,,,,Tile,151,restaurant,facility,,Crown Walls,For sale,1.0.0,Yes,RoomTexWallCrown03,6851,oL8aBjZoFCFKEEgAg,1AC3
Bunny Day wall,,No,,Yes,NFS,4800,Yellow,Colorful,,,Crafting,,Bunny Day (days before); Bunny Day,Yes,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,351,fancy,child's room,Bunny Day,Cloth Walls,Not for sale,1.1.0,Yes,RoomTexWallEaster00,5231,dEoSTZADDLkvmDHuY,146F
butterflies wall,,No,,No,NFS,840,White,Colorful,,,Flick,,Bug-Off (1); Bug-Off (2); Bug-Off (3); Bug-Off (4),Yes,Four Pane,White Wood,Glass,Roller Shades,White,Wood,501,fancy,stylish,,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallInsect00,4880,gJEmy4shFTnDB9Pjy,1310
cabin wall,,No,,Yes,NFS,1800,Beige,Beige,,,Crafting,,,,Four Pane,Natural Wood,Glass,Curtains,White Lace,Wood,103,living room,resort,,Wood Walls,Not for sale,1.0.0,Yes,RoomTexWallLog00,4840,sAEWR5uKGAXM6utL7,12E8
café-curtain wall,,Yes,,No,3000,750,Black,White,,,Saharah; Saharah's Co-op,,,,,,,,,Wood,451,shop,café,,Special Walls,Not for sale,1.0.0,Yes,RoomSpWallCafe00,5483,ficQ2fw73rzF5EJBB,156B
camo wall,,No,,No,1150,287,Black,Green,1000.0,Poki,Nook's Cranny,,,,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,151,party,child's room,,Camouflage,For sale,1.0.0,Yes,RoomTexWallCamouflage00,4883,gBLHTGPLB65iZypbn,1313
candles wall,,Yes,LightOff,No,3000,750,Black,Black,,,Saharah's Co-op,,,,,,,,,Wood,451,horror,facility,,Special Inorganic Walls,Not for sale,2.0.0,Yes,RoomSpWallCandle00,5492,XmH9GSRmcFZ7HfECB,1574
chain-link fence,,Yes,,No,3000,750,Gray,Gray,,,Saharah; Saharah's Co-op,,,,,,,,,Plain,451,city life,workshop,,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallEmptyLot00,5485,Qwbt8qxT8yN9XfXdR,156D
cherry wall,,No,,Yes,NFS,4000,Pink,Red,,,Crafting,,,,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,103,child's room,fancy,fruits,Fruit Walls,Not for sale,1.0.0,Yes,RoomTexWallCherry00,4919,tcMuDzZqtDYs29Asm,1337
cherry-blossom-trees wall,,Yes,Random,Yes,NFS,4600,Brown,Pink,,,Crafting,,cherry-blossom petals,Yes,,,,,,Stone,201,garden,nature,cherry blossoms,Special Warm Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallSakura00,7205,LrRvk9Twg87SSqNR4,1C25
chic LEGO® wall,,No,,No,3000,750,Gray,Gray,,,Nook Shopping Promotion,,,,,,,,,Plain,201,child's room,,LEGO®,LEGO Walls,Not in catalog,3.0.0,Yes,RoomTexWallLego03,1292,xG5WsXZmDzvxPBiMS,050C
chic tearoom wall,,No,,No,1750,437,Black,Black,1600.0,Poki,Nook's Cranny,,,,Circle,Dark Wood,Screen,,,Wood,151,harmonious,retro,,Tea Room Walls,For sale,1.0.0,Yes,RoomTexWallMud03,11176,juLfiYnkF3x3wSAMZ,2BA8
chic wall,,No,,No,1960,490,Yellow,Beige,1800.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,151,European,living room,,Cloth Walls,For sale,1.0.0,Yes,RoomTexWallClassic00,4828,QMofvFznsaNcsDTqg,12DC
chocolate hallway wall,,No,,No,2000,500,Brown,Brown,1800.0,Poki,Nook's Cranny,,,,,,,,,Wood,151,facility,music,,Hall Walls,For sale,1.0.0,Yes,RoomTexWallHall01,4807,WZfDqbGb3cACFJWrg,12C7
chocolate herringbone wall,,No,,Yes,NFS,1800,Brown,Brown,,,Crafting,,,,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Wood,103,living room,stylish,,Herringbone,Not for sale,1.0.0,Yes,RoomTexWallHerringbone01,4805,TpZxYjK6NorSqDMwu,12C5
Cinnamoroll wall,,No,,No,3000,750,White,Colorful,,,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,,,,,,,,Cloth,201,fancy,,Cinnamoroll,Sanrio Walls,Not in catalog,1.9.0,Yes,RoomTexWallCinnamon00,10172,XAaoMY22k2S8T26bA,27BC
circuit-board wall,,No,,No,3000,750,Green,Green,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,facility,,,Neta Walls,Not for sale,1.0.0,Yes,RoomTexWallGeek00,4821,Ms4DDtXTTGMwXdvvy,12D5
circus wall,,Yes,Synchro,No,3000,750,Colorful,Colorful,,,Saharah's Co-op,,,,,,,,,Stone,451,facility,amusement park,,Stripe Walls,Not for sale,2.0.0,Yes,RoomSpWallSummer00,12721,ixM9xgbth7JXjE8Mp,31B1
cityscape wall,,Yes,,No,3000,750,Black,Black,,,Saharah; Saharah's Co-op,,,,,,,,,Cloth,451,restaurant,expensive,,Special Walls,Not for sale,1.0.0,Yes,RoomSpWallNightView00,5400,9B4hFDTD7xM8goPGs,1518
classic-library wall,,No,,Yes,NFS,1450,Black,Black,,,Crafting,,,,,,,,,Wood,103,den,facility,,Library Walls,Not for sale,1.0.0,Yes,RoomTexWallLibrary00,4837,YbYmnjKXc49cyT6GB,12E5
club wall,,Yes,Synchro,No,3000,750,Black,Black,,,Saharah's Co-op,,,,,,,,,Tile,451,party,concert,,Special Walls,Not for sale,2.0.0,Yes,RoomSpWallClub00,13130,Dsyv8o4HCHf92g9j5,334A
coffee-shop wall,,No,,No,3000,750,Black,Beige,,,Saharah's Co-op,,,,,,,,,Wood,451,café,shop,,WallFacility,Not for sale,2.0.0,Yes,RoomTexWallCoffee00,12908,kzCjxQsgHnvqNcHjY,326C
colorful LEGO® wall,,No,,No,3000,750,Yellow,Yellow,,,Nook Shopping Promotion,,,,,,,,,Plain,201,child's room,,LEGO®,LEGO Walls,Not in catalog,3.0.0,Yes,RoomTexWallLego00,1282,nhwkuBYzogRZ684o9,0502
colorful puzzle wall,,No,,No,1540,385,Colorful,Colorful,1400.0,Poki,Nook's Cranny,,,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,151,fancy,child's room,,Puzzle Walls,For sale,1.0.0,Yes,RoomTexWallPuzzle01,4887,gpsYwFiGd3coj2eBS,1317
colorful-tile wall,,No,,No,1420,355,Colorful,Colorful,1300.0,Poki,Nook's Cranny,,,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151,bathroom,public bath,,Tile Walls,For sale,1.0.0,Yes,RoomTexWallTile02,4931,yu9xkApAW49Zhhf9i,1343
common wall,,No,,No,800,200,Beige,Brown,720.0,Poki,Nook's Cranny,,,,Four Pane,Natural Wood,Glass,Curtains,White,Wood,151,living room,school,,Stone Walls,For sale,1.0.0,Yes,RoomTexWallCommon00,4795,nLsLm3SoBAKtH5DmF,12BB
concession-stand wall,,Yes,,No,3000,750,Colorful,Colorful,,,Saharah's Co-op,,,,,,,,,Tile,451,restaurant,facility,,WallFacility,Not for sale,2.0.0,Yes,RoomSpWallStand00,12913,heesFhfzdGF2Yf5sq,3271
concrete wall,,No,,No,940,235,Gray,Gray,850.0,Poki,Nook's Cranny,,,,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Stone,151,workshop,stylish,,Stone Walls,For sale,1.0.0,Yes,RoomTexWallConcrete00,4890,jmixjxLNuH9jRQhyr,131A
construction-site wall,,No,,No,3000,750,Blue,Blue,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,workshop,construction site,,Neta Walls,Not for sale,1.0.0,Yes,RoomTexWallBlueSheet00,4843,gDubZLr2wi622j5De,12EB
crepe-design wall,,No,,No,1550,387,White,Colorful,1400.0,Poki,Nook's Cranny,,,,Circle,Grey Wood,Screen,,,Wood,151,harmonious,stylish,,Japanese Style,For sale,1.0.0,Yes,RoomTexWallCrepe00,4841,dBSCiiYyny3ReAbgo,12E9
cute blue wall,,No,,No,1880,470,Blue,White,1700.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,151,fancy,child's room,,Cute Walls,For sale,1.0.0,Yes,RoomTexWallCute02,7217,KFhQNtCs6tx9sj7dy,1C31
cute LEGO® wall,,No,,No,3000,750,Pink,Pink,,,Nook Shopping Promotion,,,,,,,,,Plain,201,child's room,,LEGO®,LEGO Walls,Not in catalog,3.0.0,Yes,RoomTexWallLego02,1291,q9oMMzxz2AEYTuJZ7,050B
cute red wall,,No,,No,1880,470,Red,White,1700.0,Poki,Nook's Cranny,,,,Four Pane,Grey Wood,Glass,Curtains,White Lace,Cloth,151,fancy,child's room,,Cute Walls,For sale,1.0.0,Yes,RoomTexWallCute01,7216,qYZyrdquxzvHErF5n,1C30
cute white wall,,No,,No,1880,470,White,White,1700.0,Poki,Nook's Cranny,,,,Four Pane,Grey Wood,Glass,Curtains,White Lace,Cloth,151,fancy,child's room,,Cute Walls,For sale,1.0.0,Yes,RoomTexWallCute00,7215,McKcAab2qjAaviYvA,1C2F
cute yellow wall,,No,,No,1880,470,Yellow,White,1700.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,151,fancy,child's room,,Cute Walls,For sale,1.0.0,Yes,RoomTexWallCute03,7218,6j8PFwiuCwkN7GP5b,1C32
dark wooden-mosaic wall,,No,,Yes,NFS,1800,Black,Black,,,Crafting,,,,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Stone,103,living room,shop,,Wood Plank Walls,Not for sale,1.0.0,Yes,RoomTexWallMixPlankWood01,4860,zZ6oMsuRibBQMkCA7,12FC
